INFO | SYSTEM | epoch=0 time=4.89s lr=0.001mask_ratio_lastbatch=0.226799
INFO | SYSTEM | epoch=1 time=4.86s lr=0.001mask_ratio_lastbatch=0.232244
INFO | SYSTEM | epoch=2 time=4.86s lr=0.001mask_ratio_lastbatch=0.227509
INFO | SYSTEM | epoch=3 time=4.86s lr=0.001mask_ratio_lastbatch=0.226326
INFO | SYSTEM | epoch=4 time=4.19s lr=0.001mask_ratio_lastbatch=0.222312
INFO | SYSTEM | epoch=5 time=4.18s lr=0.001mask_ratio_lastbatch=0.229167
INFO | SYSTEM | epoch=6 time=4.19s lr=0.001mask_ratio_lastbatch=0.232244
INFO | SYSTEM | epoch=7 time=4.86s lr=0.001mask_ratio_lastbatch=0.231416
INFO | SYSTEM | epoch=8 time=4.20s lr=0.001mask_ratio_lastbatch=0.227036
INFO | SYSTEM | epoch=9 time=4.20s lr=0.001mask_ratio_lastbatch=0.234863
INFO | SYSTEM | epoch=10 time=4.18s lr=0.001mask_ratio_lastbatch=0.232126
INFO | SYSTEM | epoch=11 time=4.19s lr=0.001mask_ratio_lastbatch=0.230232
INFO | SYSTEM | epoch=12 time=4.86s lr=0.001mask_ratio_lastbatch=0.228220
INFO | SYSTEM | epoch=13 time=4.21s lr=0.001mask_ratio_lastbatch=0.222656
INFO | SYSTEM | epoch=14 time=4.20s lr=0.001mask_ratio_lastbatch=0.233191
INFO | SYSTEM | epoch=15 time=4.19s lr=0.001mask_ratio_lastbatch=0.225024
INFO | SYSTEM | epoch=16 time=4.19s lr=0.001mask_ratio_lastbatch=0.230942
INFO | SYSTEM | epoch=17 time=4.19s lr=0.001mask_ratio_lastbatch=0.228338
INFO | SYSTEM | epoch=18 time=4.20s lr=0.001mask_ratio_lastbatch=0.228456
INFO | SYSTEM | epoch=19 time=4.16s lr=0.001mask_ratio_lastbatch=0.230942
INFO | SYSTEM | epoch=20 time=4.16s lr=0.001mask_ratio_lastbatch=0.227509
INFO | SYSTEM | epoch=21 time=4.17s lr=0.0005mask_ratio_lastbatch=0.228812
INFO | SYSTEM | epoch=22 time=4.21s lr=0.0005mask_ratio_lastbatch=0.228812
INFO | SYSTEM | epoch=23 time=4.20s lr=0.0005mask_ratio_lastbatch=0.220703
INFO | SYSTEM | epoch=24 time=4.22s lr=0.0005mask_ratio_lastbatch=0.229403
INFO | SYSTEM | epoch=25 time=4.20s lr=0.0005mask_ratio_lastbatch=0.223485
INFO | SYSTEM | epoch=26 time=4.21s lr=0.0005mask_ratio_lastbatch=0.229759
INFO | SYSTEM | epoch=27 time=4.21s lr=0.0005mask_ratio_lastbatch=0.229048
INFO | SYSTEM | epoch=28 time=4.23s lr=0.0005mask_ratio_lastbatch=0.227036
INFO | SYSTEM | epoch=29 time=4.21s lr=0.0005mask_ratio_lastbatch=0.230705
INFO | SYSTEM | epoch=30 time=4.22s lr=0.0005mask_ratio_lastbatch=0.228338
INFO | SYSTEM | epoch=31 time=4.20s lr=0.00025mask_ratio_lastbatch=0.228930
INFO | SYSTEM | epoch=32 time=4.23s lr=0.00025mask_ratio_lastbatch=0.229167
INFO | SYSTEM | epoch=33 time=4.22s lr=0.00025mask_ratio_lastbatch=0.228220
INFO | SYSTEM | epoch=34 time=4.21s lr=0.00025mask_ratio_lastbatch=0.226918
INFO | SYSTEM | epoch=35 time=4.27s lr=0.00025mask_ratio_lastbatch=0.229285
