2025-12-22 03:40:52,336 | INFO | SYSTEM | epoch=0 time=258.14s lr=0.001 grad_norm=10.415634 mask_ratio_lastbatch=0.009237 cuda_mem_alloc_mb=848.65 cuda_mem_reserved_mb=6882.00 cuda_mem_max_alloc_mb=6271.04
2025-12-22 03:45:04,113 | INFO | SYSTEM | epoch=1 time=251.78s lr=0.001 grad_norm=17.487802 mask_ratio_lastbatch=0.012649 cuda_mem_alloc_mb=846.42 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6271.85
2025-12-22 03:48:52,541 | INFO | SYSTEM | epoch=2 time=228.43s lr=0.001 grad_norm=22.333949 mask_ratio_lastbatch=0.031710 cuda_mem_alloc_mb=845.85 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6271.85
2025-12-22 03:52:38,603 | INFO | SYSTEM | epoch=3 time=226.06s lr=0.001 grad_norm=27.137537 mask_ratio_lastbatch=0.012240 cuda_mem_alloc_mb=845.52 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6271.85
2025-12-22 03:56:28,915 | INFO | SYSTEM | epoch=4 time=230.31s lr=0.001 grad_norm=30.824619 mask_ratio_lastbatch=0.006985 cuda_mem_alloc_mb=847.02 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6271.85
2025-12-22 04:00:13,439 | INFO | SYSTEM | epoch=5 time=224.52s lr=0.001 grad_norm=33.826781 mask_ratio_lastbatch=0.042824 cuda_mem_alloc_mb=845.56 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6271.85
2025-12-22 04:03:58,294 | INFO | SYSTEM | epoch=6 time=224.85s lr=0.001 grad_norm=36.860111 mask_ratio_lastbatch=0.035457 cuda_mem_alloc_mb=845.44 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6271.85
2025-12-22 04:07:46,211 | INFO | SYSTEM | epoch=7 time=227.92s lr=0.001 grad_norm=39.483752 mask_ratio_lastbatch=0.007078 cuda_mem_alloc_mb=846.16 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6271.85
2025-12-22 04:11:38,863 | INFO | SYSTEM | epoch=8 time=232.65s lr=0.001 grad_norm=42.016974 mask_ratio_lastbatch=0.007252 cuda_mem_alloc_mb=847.13 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6271.85
2025-12-22 04:15:18,667 | INFO | SYSTEM | epoch=9 time=219.80s lr=0.001 grad_norm=45.109402 mask_ratio_lastbatch=0.046875 cuda_mem_alloc_mb=845.27 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6271.85
2025-12-22 04:19:06,688 | INFO | SYSTEM | epoch=10 time=228.02s lr=0.0005 grad_norm=46.743811 mask_ratio_lastbatch=0.008599 cuda_mem_alloc_mb=846.60 cuda_mem_reserved_mb=7588.00 cuda_mem_max_alloc_mb=6271.85
