2025-12-22 03:40:52,332 | INFO | TOP_ERR | split=test epoch=0 rank=1/10 b=1 t=0 var_idx=34 tp=1.000000 y_true=1.000000 y_pred=0.093365 diff=-0.906635 abs_err=0.906635
2025-12-22 03:40:52,333 | INFO | TOP_ERR | split=test epoch=0 rank=2/10 b=1 t=5 var_idx=28 tp=1.463889 y_true=0.621586 y_pred=0.195254 diff=-0.426331 abs_err=0.426331
2025-12-22 03:40:52,333 | INFO | TOP_ERR | split=test epoch=0 rank=3/10 b=3 t=50 var_idx=43 tp=1.352083 y_true=0.555556 y_pred=0.162911 diff=-0.392644 abs_err=0.392644
2025-12-22 03:40:52,333 | INFO | TOP_ERR | split=test epoch=0 rank=4/10 b=3 t=58 var_idx=43 tp=1.379167 y_true=0.555556 y_pred=0.162951 diff=-0.392605 abs_err=0.392605
2025-12-22 03:40:52,333 | INFO | TOP_ERR | split=test epoch=0 rank=5/10 b=1 t=45 var_idx=60 tp=1.744445 y_true=0.799197 y_pred=0.412433 diff=-0.386764 abs_err=0.386764
2025-12-22 03:40:52,333 | INFO | TOP_ERR | split=test epoch=0 rank=6/10 b=1 t=40 var_idx=60 tp=1.728472 y_true=0.799197 y_pred=0.412456 diff=-0.386741 abs_err=0.386741
2025-12-22 03:40:52,333 | INFO | TOP_ERR | split=test epoch=0 rank=7/10 b=1 t=6 var_idx=17 tp=1.469445 y_true=0.206278 y_pred=0.528032 diff=0.321754 abs_err=0.321754
2025-12-22 03:40:52,334 | INFO | TOP_ERR | split=test epoch=0 rank=8/10 b=1 t=0 var_idx=35 tp=1.000000 y_true=0.750000 y_pred=0.457281 diff=-0.292719 abs_err=0.292719
2025-12-22 03:40:52,334 | INFO | TOP_ERR | split=test epoch=0 rank=9/10 b=1 t=52 var_idx=36 tp=1.766667 y_true=0.499917 y_pred=0.212851 diff=-0.287065 abs_err=0.287065
2025-12-22 03:40:52,334 | INFO | TOP_ERR | split=test epoch=0 rank=10/10 b=1 t=58 var_idx=36 tp=1.787500 y_true=0.499917 y_pred=0.212878 diff=-0.287038 abs_err=0.287038
2025-12-22 03:40:52,334 | INFO | TOP_BEST | split=test epoch=0 rank=1/3 b=2 t=2 var_idx=6 tp=1.065972 y_true=0.045576 y_pred=0.045663 diff=0.000086 abs_err=0.000086
2025-12-22 03:40:52,334 | INFO | TOP_BEST | split=test epoch=0 rank=2/3 b=2 t=2 var_idx=5 tp=1.065972 y_true=0.055983 y_pred=0.056433 diff=0.000450 abs_err=0.000450
2025-12-22 03:40:52,335 | INFO | TOP_BEST | split=test epoch=0 rank=3/3 b=1 t=67 var_idx=50 tp=1.810417 y_true=0.210843 y_pred=0.210387 diff=-0.000457 abs_err=0.000457
2025-12-22 03:40:52,335 | INFO | TOP_OK | split=test epoch=0 none_found (no exact matches)
2025-12-22 03:45:04,109 | INFO | TOP_ERR | split=test epoch=1 rank=1/10 b=1 t=0 var_idx=34 tp=1.000000 y_true=1.000000 y_pred=0.117986 diff=-0.882014 abs_err=0.882014
2025-12-22 03:45:04,110 | INFO | TOP_ERR | split=test epoch=1 rank=2/10 b=1 t=5 var_idx=28 tp=1.463889 y_true=0.621586 y_pred=0.175304 diff=-0.446282 abs_err=0.446282
2025-12-22 03:45:04,110 | INFO | TOP_ERR | split=test epoch=1 rank=3/10 b=1 t=45 var_idx=60 tp=1.744445 y_true=0.799197 y_pred=0.413599 diff=-0.385598 abs_err=0.385598
2025-12-22 03:45:04,110 | INFO | TOP_ERR | split=test epoch=1 rank=4/10 b=1 t=40 var_idx=60 tp=1.728472 y_true=0.799197 y_pred=0.413620 diff=-0.385577 abs_err=0.385577
2025-12-22 03:45:04,110 | INFO | TOP_ERR | split=test epoch=1 rank=5/10 b=1 t=52 var_idx=36 tp=1.766667 y_true=0.499917 y_pred=0.143330 diff=-0.356586 abs_err=0.356586
2025-12-22 03:45:04,110 | INFO | TOP_ERR | split=test epoch=1 rank=6/10 b=1 t=58 var_idx=36 tp=1.787500 y_true=0.499917 y_pred=0.143358 diff=-0.356559 abs_err=0.356559
2025-12-22 03:45:04,110 | INFO | TOP_ERR | split=test epoch=1 rank=7/10 b=3 t=58 var_idx=43 tp=1.379167 y_true=0.555556 y_pred=0.204751 diff=-0.350805 abs_err=0.350805
2025-12-22 03:45:04,111 | INFO | TOP_ERR | split=test epoch=1 rank=8/10 b=3 t=50 var_idx=43 tp=1.352083 y_true=0.555556 y_pred=0.204840 diff=-0.350715 abs_err=0.350715
2025-12-22 03:45:04,111 | INFO | TOP_ERR | split=test epoch=1 rank=9/10 b=1 t=0 var_idx=35 tp=1.000000 y_true=0.750000 y_pred=0.430549 diff=-0.319451 abs_err=0.319451
2025-12-22 03:45:04,111 | INFO | TOP_ERR | split=test epoch=1 rank=10/10 b=1 t=6 var_idx=17 tp=1.469445 y_true=0.206278 y_pred=0.515077 diff=0.308799 abs_err=0.308799
2025-12-22 03:45:04,111 | INFO | TOP_BEST | split=test epoch=1 rank=1/3 b=2 t=9 var_idx=53 tp=1.250000 y_true=0.032258 y_pred=0.031975 diff=-0.000283 abs_err=0.000283
2025-12-22 03:45:04,111 | INFO | TOP_BEST | split=test epoch=1 rank=2/3 b=1 t=67 var_idx=50 tp=1.810417 y_true=0.210843 y_pred=0.211263 diff=0.000420 abs_err=0.000420
2025-12-22 03:45:04,112 | INFO | TOP_BEST | split=test epoch=1 rank=3/3 b=2 t=8 var_idx=53 tp=1.208333 y_true=0.032258 y_pred=0.031769 diff=-0.000489 abs_err=0.000489
2025-12-22 03:45:04,112 | INFO | TOP_OK | split=test epoch=1 none_found (no exact matches)
2025-12-22 04:23:25,472 | INFO | TOP_ERR | split=test epoch=11 rank=1/10 b=1 t=0 var_idx=34 tp=1.000000 y_true=1.000000 y_pred=0.099495 diff=-0.900505 abs_err=0.900505
2025-12-22 04:23:25,473 | INFO | TOP_ERR | split=test epoch=11 rank=2/10 b=1 t=5 var_idx=28 tp=1.463889 y_true=0.621586 y_pred=0.144458 diff=-0.477128 abs_err=0.477128
2025-12-22 04:23:25,473 | INFO | TOP_ERR | split=test epoch=11 rank=3/10 b=1 t=45 var_idx=60 tp=1.744445 y_true=0.799197 y_pred=0.398254 diff=-0.400943 abs_err=0.400943
2025-12-22 04:23:25,473 | INFO | TOP_ERR | split=test epoch=11 rank=4/10 b=1 t=40 var_idx=60 tp=1.728472 y_true=0.799197 y_pred=0.398353 diff=-0.400844 abs_err=0.400844
2025-12-22 04:23:25,473 | INFO | TOP_ERR | split=test epoch=11 rank=5/10 b=1 t=0 var_idx=35 tp=1.000000 y_true=0.750000 y_pred=0.373519 diff=-0.376481 abs_err=0.376481
2025-12-22 04:23:25,473 | INFO | TOP_ERR | split=test epoch=11 rank=6/10 b=3 t=58 var_idx=43 tp=1.379167 y_true=0.555556 y_pred=0.207790 diff=-0.347765 abs_err=0.347765
2025-12-22 04:23:25,474 | INFO | TOP_ERR | split=test epoch=11 rank=7/10 b=3 t=50 var_idx=43 tp=1.352083 y_true=0.555556 y_pred=0.207890 diff=-0.347666 abs_err=0.347666
2025-12-22 04:23:25,474 | INFO | TOP_ERR | split=test epoch=11 rank=8/10 b=1 t=58 var_idx=36 tp=1.787500 y_true=0.499917 y_pred=0.173218 diff=-0.326699 abs_err=0.326699
2025-12-22 04:23:25,474 | INFO | TOP_ERR | split=test epoch=11 rank=9/10 b=1 t=52 var_idx=36 tp=1.766667 y_true=0.499917 y_pred=0.173254 diff=-0.326663 abs_err=0.326663
2025-12-22 04:23:25,474 | INFO | TOP_ERR | split=test epoch=11 rank=10/10 b=1 t=6 var_idx=17 tp=1.469445 y_true=0.206278 y_pred=0.522042 diff=0.315764 abs_err=0.315764
2025-12-22 04:23:25,475 | INFO | TOP_BEST | split=test epoch=11 rank=1/3 b=2 t=15 var_idx=53 tp=1.541667 y_true=0.025806 y_pred=0.026457 diff=0.000651 abs_err=0.000651
2025-12-22 04:23:25,475 | INFO | TOP_BEST | split=test epoch=11 rank=2/3 b=1 t=11 var_idx=4 tp=1.538889 y_true=0.028777 y_pred=0.029668 diff=0.000892 abs_err=0.000892
2025-12-22 04:23:25,475 | INFO | TOP_BEST | split=test epoch=11 rank=3/3 b=3 t=15 var_idx=26 tp=1.093750 y_true=0.424171 y_pred=0.423006 diff=-0.001164 abs_err=0.001164
2025-12-22 04:23:25,475 | INFO | TOP_OK | split=test epoch=11 none_found (no exact matches)
2025-12-22 04:31:23,139 | INFO | TOP_ERR | split=test epoch=13 rank=1/10 b=1 t=0 var_idx=34 tp=1.000000 y_true=1.000000 y_pred=0.103005 diff=-0.896995 abs_err=0.896995
2025-12-22 04:31:23,140 | INFO | TOP_ERR | split=test epoch=13 rank=2/10 b=1 t=5 var_idx=28 tp=1.463889 y_true=0.621586 y_pred=0.164346 diff=-0.457240 abs_err=0.457240
2025-12-22 04:31:23,140 | INFO | TOP_ERR | split=test epoch=13 rank=3/10 b=1 t=45 var_idx=60 tp=1.744445 y_true=0.799197 y_pred=0.403510 diff=-0.395686 abs_err=0.395686
2025-12-22 04:31:23,140 | INFO | TOP_ERR | split=test epoch=13 rank=4/10 b=1 t=40 var_idx=60 tp=1.728472 y_true=0.799197 y_pred=0.403617 diff=-0.395580 abs_err=0.395580
