INFO | SYSTEM | epoch=0 time=39.77s lr=0.0001 grad_norm=0.033315 mask_ratio_lastbatch=0.182104 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3488.00 cuda_mem_max_alloc_mb=3183.65
INFO | SYSTEM | epoch=1 time=39.12s lr=0.0001 grad_norm=0.123850 mask_ratio_lastbatch=0.158140 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=2 time=39.11s lr=0.0001 grad_norm=0.060594 mask_ratio_lastbatch=0.172683 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=3 time=39.45s lr=0.0001 grad_norm=0.028345 mask_ratio_lastbatch=0.169085 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=4 time=39.39s lr=0.0001 grad_norm=0.117540 mask_ratio_lastbatch=0.189299 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=5 time=39.32s lr=0.0001 grad_norm=0.081198 mask_ratio_lastbatch=0.176524 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=6 time=39.48s lr=0.0001 grad_norm=0.040593 mask_ratio_lastbatch=0.170030 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=7 time=34.98s lr=0.0001 grad_norm=0.016980 mask_ratio_lastbatch=0.174085 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=8 time=34.90s lr=0.0001 grad_norm=0.018828 mask_ratio_lastbatch=0.179939 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=9 time=35.01s lr=0.0001 grad_norm=0.012919 mask_ratio_lastbatch=0.168780 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=10 time=34.95s lr=0.0001 grad_norm=0.061887 mask_ratio_lastbatch=0.153780 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=11 time=39.27s lr=0.0001 grad_norm=0.041419 mask_ratio_lastbatch=0.168201 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=12 time=35.01s lr=0.0001 grad_norm=0.014279 mask_ratio_lastbatch=0.182866 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=13 time=39.49s lr=0.0001 grad_norm=0.105560 mask_ratio_lastbatch=0.177226 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=14 time=35.10s lr=0.0001 grad_norm=0.043184 mask_ratio_lastbatch=0.166677 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=15 time=39.35s lr=0.0001 grad_norm=0.102934 mask_ratio_lastbatch=0.165732 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=16 time=39.53s lr=0.0001 grad_norm=0.035245 mask_ratio_lastbatch=0.176860 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=17 time=34.84s lr=0.0001 grad_norm=0.045893 mask_ratio_lastbatch=0.171250 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=18 time=39.70s lr=0.0001 grad_norm=0.035464 mask_ratio_lastbatch=0.176067 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=19 time=34.95s lr=0.0001 grad_norm=0.056986 mask_ratio_lastbatch=0.173902 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=20 time=34.95s lr=0.0001 grad_norm=0.020125 mask_ratio_lastbatch=0.182866 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=21 time=35.17s lr=0.0001 grad_norm=0.018863 mask_ratio_lastbatch=0.167988 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=22 time=34.94s lr=0.0001 grad_norm=0.027227 mask_ratio_lastbatch=0.161829 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=23 time=34.93s lr=0.0001 grad_norm=0.042365 mask_ratio_lastbatch=0.173293 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
INFO | SYSTEM | epoch=24 time=34.82s lr=0.0001 grad_norm=0.034633 mask_ratio_lastbatch=0.168994 cuda_mem_alloc_mb=243.53 cuda_mem_reserved_mb=3490.00 cuda_mem_max_alloc_mb=3185.00
