INFO | SYSTEM | epoch=0 time=10.44s lr=0.001 grad_norm=0.057358 mask_ratio_lastbatch=0.171555 cuda_mem_alloc_mb=206.55 cuda_mem_reserved_mb=668.00 cuda_mem_max_alloc_mb=563.98
INFO | SYSTEM | epoch=1 time=9.78s lr=0.001 grad_norm=0.115599 mask_ratio_lastbatch=0.176098 cuda_mem_alloc_mb=206.55 cuda_mem_reserved_mb=668.00 cuda_mem_max_alloc_mb=565.10
INFO | SYSTEM | epoch=2 time=9.68s lr=0.001 grad_norm=0.036722 mask_ratio_lastbatch=0.178872 cuda_mem_alloc_mb=206.55 cuda_mem_reserved_mb=670.00 cuda_mem_max_alloc_mb=565.10
INFO | SYSTEM | epoch=3 time=7.96s lr=0.001 grad_norm=0.047713 mask_ratio_lastbatch=0.159970 cuda_mem_alloc_mb=206.55 cuda_mem_reserved_mb=670.00 cuda_mem_max_alloc_mb=565.10
INFO | SYSTEM | epoch=4 time=9.97s lr=0.001 grad_norm=0.070606 mask_ratio_lastbatch=0.167104 cuda_mem_alloc_mb=206.55 cuda_mem_reserved_mb=670.00 cuda_mem_max_alloc_mb=565.10
INFO | SYSTEM | epoch=5 time=9.52s lr=0.001 grad_norm=0.029609 mask_ratio_lastbatch=0.163902 cuda_mem_alloc_mb=206.55 cuda_mem_reserved_mb=670.00 cuda_mem_max_alloc_mb=565.10
INFO | SYSTEM | epoch=6 time=7.84s lr=0.001 grad_norm=0.066303 mask_ratio_lastbatch=0.175945 cuda_mem_alloc_mb=206.55 cuda_mem_reserved_mb=670.00 cuda_mem_max_alloc_mb=565.10
INFO | SYSTEM | epoch=7 time=7.93s lr=0.001 grad_norm=0.051948 mask_ratio_lastbatch=0.181433 cuda_mem_alloc_mb=206.55 cuda_mem_reserved_mb=670.00 cuda_mem_max_alloc_mb=565.10
INFO | SYSTEM | epoch=8 time=9.69s lr=0.001 grad_norm=0.017233 mask_ratio_lastbatch=0.172561 cuda_mem_alloc_mb=206.55 cuda_mem_reserved_mb=670.00 cuda_mem_max_alloc_mb=565.10
INFO | SYSTEM | epoch=9 time=7.67s lr=0.001 grad_norm=0.058970 mask_ratio_lastbatch=0.179177 cuda_mem_alloc_mb=206.55 cuda_mem_reserved_mb=670.00 cuda_mem_max_alloc_mb=565.10
INFO | SYSTEM | epoch=10 time=7.79s lr=0.001 grad_norm=0.083601 mask_ratio_lastbatch=0.182165 cuda_mem_alloc_mb=206.55 cuda_mem_reserved_mb=670.00 cuda_mem_max_alloc_mb=565.10
INFO | SYSTEM | epoch=11 time=7.91s lr=0.001 grad_norm=0.031013 mask_ratio_lastbatch=0.163720 cuda_mem_alloc_mb=206.55 cuda_mem_reserved_mb=670.00 cuda_mem_max_alloc_mb=565.10
INFO | SYSTEM | epoch=12 time=7.79s lr=0.001 grad_norm=0.058537 mask_ratio_lastbatch=0.164085 cuda_mem_alloc_mb=206.55 cuda_mem_reserved_mb=670.00 cuda_mem_max_alloc_mb=565.10
INFO | SYSTEM | epoch=13 time=7.86s lr=0.001 grad_norm=0.043902 mask_ratio_lastbatch=0.175335 cuda_mem_alloc_mb=206.55 cuda_mem_reserved_mb=670.00 cuda_mem_max_alloc_mb=565.10
INFO | SYSTEM | epoch=14 time=7.72s lr=0.001 grad_norm=0.031987 mask_ratio_lastbatch=0.174604 cuda_mem_alloc_mb=206.55 cuda_mem_reserved_mb=670.00 cuda_mem_max_alloc_mb=565.10
INFO | SYSTEM | epoch=15 time=9.79s lr=0.001 grad_norm=0.027971 mask_ratio_lastbatch=0.163171 cuda_mem_alloc_mb=206.55 cuda_mem_reserved_mb=670.00 cuda_mem_max_alloc_mb=565.10
