2025-12-21 14:20:55,095 | INFO | SYSTEM | epoch=0 time=54.44s lr=0.0001 grad_norm=10.498283 mask_ratio_lastbatch=0.185549 cuda_mem_alloc_mb=277.76 cuda_mem_reserved_mb=4794.00 cuda_mem_max_alloc_mb=4721.94
2025-12-21 14:21:48,735 | INFO | SYSTEM | epoch=1 time=53.64s lr=0.0001 grad_norm=10.739715 mask_ratio_lastbatch=0.157957 cuda_mem_alloc_mb=277.76 cuda_mem_reserved_mb=4796.00 cuda_mem_max_alloc_mb=4723.29
2025-12-21 14:22:42,616 | INFO | SYSTEM | epoch=2 time=53.88s lr=0.0001 grad_norm=10.956100 mask_ratio_lastbatch=0.168140 cuda_mem_alloc_mb=277.76 cuda_mem_reserved_mb=4796.00 cuda_mem_max_alloc_mb=4723.29
2025-12-21 14:23:36,707 | INFO | SYSTEM | epoch=3 time=54.09s lr=0.0001 grad_norm=10.991069 mask_ratio_lastbatch=0.183963 cuda_mem_alloc_mb=277.76 cuda_mem_reserved_mb=4796.00 cuda_mem_max_alloc_mb=4723.29
2025-12-21 14:24:30,830 | INFO | SYSTEM | epoch=4 time=54.12s lr=0.0001 grad_norm=11.131752 mask_ratio_lastbatch=0.169146 cuda_mem_alloc_mb=277.76 cuda_mem_reserved_mb=4796.00 cuda_mem_max_alloc_mb=4723.29
2025-12-21 14:25:19,530 | INFO | SYSTEM | epoch=5 time=48.70s lr=0.0001 grad_norm=11.214947 mask_ratio_lastbatch=0.175183 cuda_mem_alloc_mb=277.76 cuda_mem_reserved_mb=4796.00 cuda_mem_max_alloc_mb=4723.29
2025-12-21 14:26:13,530 | INFO | SYSTEM | epoch=6 time=54.00s lr=0.0001 grad_norm=11.308746 mask_ratio_lastbatch=0.165366 cuda_mem_alloc_mb=277.76 cuda_mem_reserved_mb=4796.00 cuda_mem_max_alloc_mb=4723.29
2025-12-21 14:27:02,517 | INFO | SYSTEM | epoch=7 time=48.99s lr=0.0001 grad_norm=11.315441 mask_ratio_lastbatch=0.168780 cuda_mem_alloc_mb=277.76 cuda_mem_reserved_mb=4798.00 cuda_mem_max_alloc_mb=4723.29
2025-12-21 14:27:51,356 | INFO | SYSTEM | epoch=8 time=48.84s lr=0.0001 grad_norm=11.276357 mask_ratio_lastbatch=0.185762 cuda_mem_alloc_mb=277.76 cuda_mem_reserved_mb=4798.00 cuda_mem_max_alloc_mb=4723.29
2025-12-21 14:28:40,248 | INFO | SYSTEM | epoch=9 time=48.89s lr=0.0001 grad_norm=11.374568 mask_ratio_lastbatch=0.158598 cuda_mem_alloc_mb=277.76 cuda_mem_reserved_mb=4798.00 cuda_mem_max_alloc_mb=4723.29
2025-12-21 14:29:29,297 | INFO | SYSTEM | epoch=10 time=49.05s lr=0.0001 grad_norm=11.383916 mask_ratio_lastbatch=0.174390 cuda_mem_alloc_mb=277.76 cuda_mem_reserved_mb=4798.00 cuda_mem_max_alloc_mb=4723.29
2025-12-21 14:30:23,308 | INFO | SYSTEM | epoch=11 time=54.01s lr=0.0001 grad_norm=11.424209 mask_ratio_lastbatch=0.172622 cuda_mem_alloc_mb=277.76 cuda_mem_reserved_mb=4798.00 cuda_mem_max_alloc_mb=4723.29
2025-12-21 14:31:12,192 | INFO | SYSTEM | epoch=12 time=48.88s lr=0.0001 grad_norm=11.410918 mask_ratio_lastbatch=0.173354 cuda_mem_alloc_mb=277.76 cuda_mem_reserved_mb=4798.00 cuda_mem_max_alloc_mb=4723.29
2025-12-21 14:32:01,244 | INFO | SYSTEM | epoch=13 time=49.05s lr=0.0001 grad_norm=11.471743 mask_ratio_lastbatch=0.159085 cuda_mem_alloc_mb=277.76 cuda_mem_reserved_mb=4798.00 cuda_mem_max_alloc_mb=4723.29
2025-12-21 14:32:50,172 | INFO | SYSTEM | epoch=14 time=48.93s lr=0.0001 grad_norm=11.431814 mask_ratio_lastbatch=0.179817 cuda_mem_alloc_mb=277.76 cuda_mem_reserved_mb=4798.00 cuda_mem_max_alloc_mb=4723.29
2025-12-21 14:33:39,076 | INFO | SYSTEM | epoch=15 time=48.90s lr=0.0001 grad_norm=11.467740 mask_ratio_lastbatch=0.182012 cuda_mem_alloc_mb=277.76 cuda_mem_reserved_mb=4798.00 cuda_mem_max_alloc_mb=4723.29
