2025-12-21 09:10:16,797 | INFO | TOP_ERR | split=test epoch=0 rank=1/10 b=25 t=20 var_idx=15 tp=1.833333 y_true=0.000000 y_pred=0.569740 diff=0.569740 abs_err=0.569740
2025-12-21 09:10:16,798 | INFO | TOP_ERR | split=test epoch=0 rank=2/10 b=25 t=12 var_idx=15 tp=1.500000 y_true=0.000000 y_pred=0.568262 diff=0.568262 abs_err=0.568262
2025-12-21 09:10:16,798 | INFO | TOP_ERR | split=test epoch=0 rank=3/10 b=25 t=8 var_idx=15 tp=1.333333 y_true=0.000000 y_pred=0.567521 diff=0.567521 abs_err=0.567521
2025-12-21 09:10:16,798 | INFO | TOP_ERR | split=test epoch=0 rank=4/10 b=25 t=4 var_idx=15 tp=1.166667 y_true=0.000000 y_pred=0.566785 diff=0.566785 abs_err=0.566785
2025-12-21 09:10:16,798 | INFO | TOP_ERR | split=test epoch=0 rank=5/10 b=29 t=6 var_idx=28 tp=1.250000 y_true=0.000000 y_pred=0.507653 diff=0.507653 abs_err=0.507653
2025-12-21 09:10:16,799 | INFO | TOP_ERR | split=test epoch=0 rank=6/10 b=10 t=21 var_idx=15 tp=1.875000 y_true=1.000000 y_pred=0.521704 diff=-0.478296 abs_err=0.478296
2025-12-21 09:10:16,799 | INFO | TOP_ERR | split=test epoch=0 rank=7/10 b=21 t=18 var_idx=19 tp=1.791667 y_true=0.940898 y_pred=0.476224 diff=-0.464674 abs_err=0.464674
2025-12-21 09:10:16,799 | INFO | TOP_ERR | split=test epoch=0 rank=8/10 b=8 t=2 var_idx=15 tp=1.083333 y_true=0.000000 y_pred=0.394907 diff=0.394907 abs_err=0.394907
2025-12-21 09:10:16,799 | INFO | TOP_ERR | split=test epoch=0 rank=9/10 b=8 t=0 var_idx=15 tp=1.000000 y_true=0.000000 y_pred=0.394552 diff=0.394552 abs_err=0.394552
2025-12-21 09:10:16,799 | INFO | TOP_ERR | split=test epoch=0 rank=10/10 b=21 t=20 var_idx=19 tp=1.875000 y_true=0.851064 y_pred=0.476140 diff=-0.374923 abs_err=0.374923
2025-12-21 09:10:16,800 | INFO | TOP_BEST | split=test epoch=0 rank=1/3 b=31 t=19 var_idx=27 tp=1.791667 y_true=0.319395 y_pred=0.319405 diff=0.000009 abs_err=0.000009
2025-12-21 09:10:16,800 | INFO | TOP_BEST | split=test epoch=0 rank=2/3 b=7 t=1 var_idx=23 tp=1.041667 y_true=0.218121 y_pred=0.218107 diff=-0.000014 abs_err=0.000014
