2025-12-20 14:30:28,802 | INFO | TOP_ERR | split=test epoch=0 rank=1/10 b=16 t=4 var_idx=15 tp=0.583333 y_true=0.166667 y_pred=1.023985 diff=0.857318 abs_err=0.857318
2025-12-20 14:30:28,802 | INFO | TOP_ERR | split=test epoch=0 rank=2/10 b=2 t=21 var_idx=14 tp=1.000000 y_true=1.000000 y_pred=0.269540 diff=-0.730460 abs_err=0.730460
2025-12-20 14:30:28,803 | INFO | TOP_ERR | split=test epoch=0 rank=3/10 b=2 t=18 var_idx=14 tp=0.937500 y_true=1.000000 y_pred=0.270225 diff=-0.729775 abs_err=0.729775
2025-12-20 14:30:28,803 | INFO | TOP_ERR | split=test epoch=0 rank=4/10 b=16 t=1 var_idx=30 tp=0.520833 y_true=0.854000 y_pred=0.189705 diff=-0.664295 abs_err=0.664295
2025-12-20 14:30:28,803 | INFO | TOP_ERR | split=test epoch=0 rank=5/10 b=30 t=0 var_idx=15 tp=0.500000 y_true=0.000000 y_pred=0.637216 diff=0.637216 abs_err=0.637216
2025-12-20 14:30:28,803 | INFO | TOP_ERR | split=test epoch=0 rank=6/10 b=30 t=4 var_idx=15 tp=0.583333 y_true=0.000000 y_pred=0.636613 diff=0.636613 abs_err=0.636613
2025-12-20 14:30:28,803 | INFO | TOP_ERR | split=test epoch=0 rank=7/10 b=30 t=7 var_idx=15 tp=0.645833 y_true=0.000000 y_pred=0.636155 diff=0.636155 abs_err=0.636155
2025-12-20 14:30:28,803 | INFO | TOP_ERR | split=test epoch=0 rank=8/10 b=30 t=9 var_idx=15 tp=0.687500 y_true=0.000000 y_pred=0.635847 diff=0.635847 abs_err=0.635847
2025-12-20 14:30:28,803 | INFO | TOP_ERR | split=test epoch=0 rank=9/10 b=6 t=4 var_idx=15 tp=0.583333 y_true=0.000000 y_pred=0.605460 diff=0.605460 abs_err=0.605460
2025-12-20 14:30:28,803 | INFO | TOP_ERR | split=test epoch=0 rank=10/10 b=30 t=20 var_idx=14 tp=0.916667 y_true=1.000000 y_pred=0.427553 diff=-0.572447 abs_err=0.572447
2025-12-20 14:30:28,804 | INFO | TOP_BEST | split=test epoch=0 rank=1/3 b=8 t=8 var_idx=27 tp=0.666667 y_true=0.353488 y_pred=0.353483 diff=-0.000006 abs_err=0.000006
2025-12-20 14:30:28,804 | INFO | TOP_BEST | split=test epoch=0 rank=2/3 b=6 t=18 var_idx=13 tp=0.875000 y_true=0.216117 y_pred=0.216139 diff=0.000021 abs_err=0.000021
