2025-12-21 11:23:28,354 | INFO | TOP_ERR | split=test epoch=0 rank=1/10 b=21 t=18 var_idx=19 tp=1.791667 y_true=0.940898 y_pred=0.416776 diff=-0.524122 abs_err=0.524122
2025-12-21 11:23:28,355 | INFO | TOP_ERR | split=test epoch=0 rank=2/10 b=25 t=20 var_idx=15 tp=1.833333 y_true=0.000000 y_pred=0.495455 diff=0.495455 abs_err=0.495455
2025-12-21 11:23:28,355 | INFO | TOP_ERR | split=test epoch=0 rank=3/10 b=25 t=12 var_idx=15 tp=1.500000 y_true=0.000000 y_pred=0.494763 diff=0.494763 abs_err=0.494763
2025-12-21 11:23:28,355 | INFO | TOP_ERR | split=test epoch=0 rank=4/10 b=25 t=8 var_idx=15 tp=1.333333 y_true=0.000000 y_pred=0.493470 diff=0.493470 abs_err=0.493470
2025-12-21 11:23:28,355 | INFO | TOP_ERR | split=test epoch=0 rank=5/10 b=25 t=4 var_idx=15 tp=1.166667 y_true=0.000000 y_pred=0.491954 diff=0.491954 abs_err=0.491954
2025-12-21 11:23:28,355 | INFO | TOP_ERR | split=test epoch=0 rank=6/10 b=10 t=21 var_idx=15 tp=1.875000 y_true=1.000000 y_pred=0.512694 diff=-0.487306 abs_err=0.487306
2025-12-21 11:23:28,355 | INFO | TOP_ERR | split=test epoch=0 rank=7/10 b=29 t=6 var_idx=28 tp=1.250000 y_true=0.000000 y_pred=0.448321 diff=0.448321 abs_err=0.448321
2025-12-21 11:23:28,355 | INFO | TOP_ERR | split=test epoch=0 rank=8/10 b=21 t=20 var_idx=19 tp=1.875000 y_true=0.851064 y_pred=0.416533 diff=-0.434530 abs_err=0.434530
2025-12-21 11:23:28,355 | INFO | TOP_ERR | split=test epoch=0 rank=9/10 b=21 t=19 var_idx=19 tp=1.833333 y_true=0.831560 y_pred=0.416665 diff=-0.414895 abs_err=0.414895
2025-12-21 11:23:28,356 | INFO | TOP_ERR | split=test epoch=0 rank=10/10 b=17 t=10 var_idx=12 tp=1.500000 y_true=0.461187 y_pred=0.070138 diff=-0.391049 abs_err=0.391049
2025-12-21 11:23:28,356 | INFO | TOP_BEST | split=test epoch=0 rank=1/3 b=4 t=12 var_idx=39 tp=1.500000 y_true=0.015455 y_pred=0.015466 diff=0.000012 abs_err=0.000012
