INFO | TOP_ERR | split=test epoch=0 rank=1/10 b=194 t=100 var_idx=1 tp=1.549000 y_true=8.107570 y_pred=-0.087978 diff=-8.195548 abs_err=8.195547
INFO | TOP_ERR | split=test epoch=0 rank=2/10 b=193 t=100 var_idx=1 tp=1.549000 y_true=8.107570 y_pred=-0.084396 diff=-8.191966 abs_err=8.191966
INFO | TOP_ERR | split=test epoch=0 rank=3/10 b=192 t=100 var_idx=1 tp=1.549000 y_true=8.107570 y_pred=-0.080407 diff=-8.187976 abs_err=8.187976
INFO | TOP_ERR | split=test epoch=0 rank=4/10 b=195 t=100 var_idx=1 tp=1.549000 y_true=8.107570 y_pred=-0.073022 diff=-8.180591 abs_err=8.180592
INFO | TOP_ERR | split=test epoch=0 rank=5/10 b=191 t=100 var_idx=1 tp=1.549000 y_true=8.107570 y_pred=-0.023040 diff=-8.130610 abs_err=8.130610
INFO | TOP_ERR | split=test epoch=0 rank=6/10 b=190 t=100 var_idx=1 tp=1.549000 y_true=8.107570 y_pred=-0.017598 diff=-8.125167 abs_err=8.125168
INFO | TOP_ERR | split=test epoch=0 rank=7/10 b=197 t=100 var_idx=1 tp=1.549000 y_true=8.107570 y_pred=-0.006868 diff=-8.114438 abs_err=8.114438
INFO | TOP_ERR | split=test epoch=0 rank=8/10 b=196 t=100 var_idx=1 tp=1.549000 y_true=8.107570 y_pred=-0.006785 diff=-8.114355 abs_err=8.114355
INFO | TOP_ERR | split=test epoch=0 rank=9/10 b=189 t=100 var_idx=1 tp=1.549000 y_true=8.107570 y_pred=0.004992 diff=-8.102578 abs_err=8.102577
INFO | TOP_ERR | split=test epoch=0 rank=10/10 b=198 t=100 var_idx=1 tp=1.549000 y_true=8.107570 y_pred=0.011261 diff=-8.096309 abs_err=8.096309
INFO | TOP_BEST | split=test epoch=0 rank=1/3 b=146 t=4 var_idx=1 tp=1.023000 y_true=-0.127970 y_pred=-0.128021 diff=-0.000051 abs_err=0.000051
INFO | TOP_BEST | split=test epoch=0 rank=2/3 b=132 t=33 var_idx=3 tp=1.142000 y_true=0.080268 y_pred=0.080189 diff=-0.000079 abs_err=0.000079
