INFO | 2025-12-23 09:38:18
INFO | command: RunModelsLogsUSHCN.py --dataset ushcn --state def --history 24 --batch_size 192 --lr 1e-3 --patience 50 --epoch 300 --nhead 4 --tf_layer 1 --nlayer 1 --te_dim 10 --node_dim 10 --hid_dim 64 --seed 1 --gpu 0 --multi_scales 1,2 --multi_strides 1,2 --fusion concat
INFO | ExpID=14714 PID=538687 host=stud-000 device=cuda CUDA_VISIBLE_DEVICES=0
INFO | SLURM_JOB_NAME=MH_USHCN_MS SLURM_JOB_ID=304945
INFO | ckpt_path=experiments/experiment_14714.ckpt
INFO | args=Namespace(multi_scales='1,2', multi_strides='1,2', fusion='concat', state='def', n=100000000, hop=1, nhead=4, tf_layer=1, nlayer=1, epoch=300, patience=50, history=24, patch_size=24, stride=24, logmode='a', lr=0.001, w_decay=0.0, batch_size=192, save='experiments/', load=None, seed=1, dataset='ushcn', quantization=0.0, model='tPatchGNN', outlayer='Linear', hid_dim=64, te_dim=10, node_dim=10, gpu='0', debug_internal=1, topk_err=10, data_sanity_batches=3, npatch=1, device=device(type='cuda'), PID=538687, n_months=48, pred_window=1, ndim=5)
INFO | data: input_dim=5 n_train_batches=84 n_val_batches=28 n_test_batches=28 quantization=0.0 history=24 patch_size=24 stride=24 npatch=1
INFO | SYSTEM | epoch=0 time=18.20s lr=0.001 grad_norm=0.260530 mask_ratio_lastbatch=0.102309 cuda_mem_alloc_mb=278.39 cuda_mem_reserved_mb=5236.00 cuda_mem_max_alloc_mb=3460.82
INFO | SYSTEM | epoch=1 time=15.94s lr=0.001 grad_norm=0.232648 mask_ratio_lastbatch=0.099693 cuda_mem_alloc_mb=278.52 cuda_mem_reserved_mb=5236.00 cuda_mem_max_alloc_mb=3595.96
INFO | SYSTEM | epoch=2 time=18.22s lr=0.001 grad_norm=0.231451 mask_ratio_lastbatch=0.099176 cuda_mem_alloc_mb=278.45 cuda_mem_reserved_mb=5236.00 cuda_mem_max_alloc_mb=3595.96
INFO | SYSTEM | epoch=3 time=18.17s lr=0.001 grad_norm=0.354296 mask_ratio_lastbatch=0.099523 cuda_mem_alloc_mb=278.34 cuda_mem_reserved_mb=5236.00 cuda_mem_max_alloc_mb=3595.96
INFO | SYSTEM | epoch=4 time=18.15s lr=0.001 grad_norm=0.648407 mask_ratio_lastbatch=0.109689 cuda_mem_alloc_mb=278.34 cuda_mem_reserved_mb=5236.00 cuda_mem_max_alloc_mb=3595.96
INFO | SYSTEM | epoch=5 time=18.19s lr=0.001 grad_norm=0.802442 mask_ratio_lastbatch=0.099415 cuda_mem_alloc_mb=278.14 cuda_mem_reserved_mb=5236.00 cuda_mem_max_alloc_mb=3595.96
INFO | SYSTEM | epoch=6 time=15.98s lr=0.001 grad_norm=0.580582 mask_ratio_lastbatch=0.103131 cuda_mem_alloc_mb=278.49 cuda_mem_reserved_mb=5236.00 cuda_mem_max_alloc_mb=3595.96
INFO | SYSTEM | epoch=7 time=15.97s lr=0.001 grad_norm=5.429608 mask_ratio_lastbatch=0.102366 cuda_mem_alloc_mb=278.60 cuda_mem_reserved_mb=5236.00 cuda_mem_max_alloc_mb=3595.96
INFO | SYSTEM | epoch=8 time=18.28s lr=0.001 grad_norm=1.168498 mask_ratio_lastbatch=0.096864 cuda_mem_alloc_mb=278.30 cuda_mem_reserved_mb=5236.00 cuda_mem_max_alloc_mb=3595.96
INFO | SYSTEM | epoch=9 time=15.91s lr=0.001 grad_norm=0.734808 mask_ratio_lastbatch=0.105994 cuda_mem_alloc_mb=278.75 cuda_mem_reserved_mb=5236.00 cuda_mem_max_alloc_mb=3595.96
INFO | SYSTEM | epoch=10 time=15.95s lr=0.001 grad_norm=1.114550 mask_ratio_lastbatch=0.104022 cuda_mem_alloc_mb=278.49 cuda_mem_reserved_mb=5236.00 cuda_mem_max_alloc_mb=3595.96
INFO | SYSTEM | epoch=11 time=15.95s lr=0.001 grad_norm=1.313027 mask_ratio_lastbatch=0.097184 cuda_mem_alloc_mb=278.71 cuda_mem_reserved_mb=5236.00 cuda_mem_max_alloc_mb=3595.96
INFO | SYSTEM | epoch=12 time=15.92s lr=0.001 grad_norm=0.630915 mask_ratio_lastbatch=0.100455 cuda_mem_alloc_mb=278.24 cuda_mem_reserved_mb=5236.00 cuda_mem_max_alloc_mb=3595.96
INFO | SYSTEM | epoch=13 time=16.00s lr=0.001 grad_norm=1.618020 mask_ratio_lastbatch=0.110847 cuda_mem_alloc_mb=278.75 cuda_mem_reserved_mb=5236.00 cuda_mem_max_alloc_mb=3595.96
INFO | SYSTEM | epoch=14 time=15.94s lr=0.001 grad_norm=1.135982 mask_ratio_lastbatch=0.102848 cuda_mem_alloc_mb=278.53 cuda_mem_reserved_mb=5236.00 cuda_mem_max_alloc_mb=3595.96
INFO | SYSTEM | epoch=15 time=18.16s lr=0.001 grad_norm=0.657707 mask_ratio_lastbatch=0.095224 cuda_mem_alloc_mb=278.51 cuda_mem_reserved_mb=5236.00 cuda_mem_max_alloc_mb=3595.96
INFO | SYSTEM | epoch=16 time=15.98s lr=0.001 grad_norm=0.807454 mask_ratio_lastbatch=0.101629 cuda_mem_alloc_mb=278.50 cuda_mem_reserved_mb=5236.00 cuda_mem_max_alloc_mb=3595.96
INFO | SYSTEM | epoch=17 time=15.96s lr=0.001 grad_norm=0.942516 mask_ratio_lastbatch=0.108155 cuda_mem_alloc_mb=278.50 cuda_mem_reserved_mb=5236.00 cuda_mem_max_alloc_mb=3595.96
