INFO | 2025-12-23 11:10:41
INFO | command: RunModelsLogsUSHCN.py --dataset ushcn --state def --history 24 --batch_size 32 --lr 1e-4 --patience 50 --epoch 300 --nhead 4 --tf_layer 1 --nlayer 1 --te_dim 15 --node_dim 10 --hid_dim 32 --seed 1 --gpu 0 --multi_scales 3,12 --multi_strides 1,6 --fusion concat
INFO | ExpID=96386 PID=540050 host=stud-000 device=cuda CUDA_VISIBLE_DEVICES=0
INFO | SLURM_JOB_NAME=MH_USHCN_MS SLURM_JOB_ID=319188
INFO | ckpt_path=experiments/experiment_96386.ckpt
INFO | args=Namespace(multi_scales='3,12', multi_strides='1,6', fusion='concat', state='def', n=100000000, hop=1, nhead=4, tf_layer=1, nlayer=1, epoch=300, patience=50, history=24, patch_size=24, stride=24, logmode='a', lr=0.0001, w_decay=0.0, batch_size=32, save='experiments/', load=None, seed=1, dataset='ushcn', quantization=0.0, model='tPatchGNN', outlayer='Linear', hid_dim=32, te_dim=15, node_dim=10, gpu='0', debug_internal=1, topk_err=10, data_sanity_batches=3, npatch=1, device=device(type='cuda'), PID=540050, n_months=48, pred_window=1, ndim=5)
INFO | data: input_dim=5 n_train_batches=501 n_val_batches=168 n_test_batches=168 quantization=0.0 history=24 patch_size=24 stride=24 npatch=1
INFO | SYSTEM | epoch=0 time=35.12s lr=0.0001 grad_norm=0.749044 mask_ratio_lastbatch=0.118941 cuda_mem_alloc_mb=246.06 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=745.16
INFO | SYSTEM | epoch=1 time=32.66s lr=0.0001 grad_norm=0.394527 mask_ratio_lastbatch=0.101791 cuda_mem_alloc_mb=245.97 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=746.30
INFO | SYSTEM | epoch=2 time=32.86s lr=0.0001 grad_norm=0.795655 mask_ratio_lastbatch=0.108727 cuda_mem_alloc_mb=245.97 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=746.30
INFO | SYSTEM | epoch=3 time=34.86s lr=0.0001 grad_norm=0.245086 mask_ratio_lastbatch=0.106185 cuda_mem_alloc_mb=246.11 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=746.30
INFO | SYSTEM | epoch=4 time=34.85s lr=0.0001 grad_norm=0.532593 mask_ratio_lastbatch=0.092538 cuda_mem_alloc_mb=245.95 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=746.30
INFO | SYSTEM | epoch=5 time=33.65s lr=0.0001 grad_norm=0.434710 mask_ratio_lastbatch=0.100621 cuda_mem_alloc_mb=246.01 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=746.30
INFO | SYSTEM | epoch=6 time=33.32s lr=0.0001 grad_norm=0.330256 mask_ratio_lastbatch=0.109299 cuda_mem_alloc_mb=245.95 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=746.30
INFO | SYSTEM | epoch=7 time=32.92s lr=0.0001 grad_norm=0.202851 mask_ratio_lastbatch=0.105968 cuda_mem_alloc_mb=246.08 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.34
INFO | SYSTEM | epoch=8 time=33.40s lr=0.0001 grad_norm=0.560779 mask_ratio_lastbatch=0.083837 cuda_mem_alloc_mb=246.12 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.34
INFO | SYSTEM | epoch=9 time=36.31s lr=0.0001 grad_norm=0.960507 mask_ratio_lastbatch=0.098877 cuda_mem_alloc_mb=245.98 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.34
INFO | SYSTEM | epoch=10 time=32.85s lr=0.0001 grad_norm=0.579841 mask_ratio_lastbatch=0.113410 cuda_mem_alloc_mb=246.01 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.34
INFO | SYSTEM | epoch=11 time=32.97s lr=0.0001 grad_norm=0.617697 mask_ratio_lastbatch=0.106602 cuda_mem_alloc_mb=246.03 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.34
INFO | SYSTEM | epoch=12 time=33.91s lr=0.0001 grad_norm=0.977622 mask_ratio_lastbatch=0.122561 cuda_mem_alloc_mb=245.97 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.34
INFO | SYSTEM | epoch=13 time=33.90s lr=0.0001 grad_norm=1.131293 mask_ratio_lastbatch=0.106553 cuda_mem_alloc_mb=246.02 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.34
INFO | SYSTEM | epoch=14 time=34.04s lr=0.0001 grad_norm=1.317743 mask_ratio_lastbatch=0.101373 cuda_mem_alloc_mb=246.07 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.34
INFO | SYSTEM | epoch=15 time=29.17s lr=0.0001 grad_norm=0.662474 mask_ratio_lastbatch=0.116213 cuda_mem_alloc_mb=246.15 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.34
INFO | SYSTEM | epoch=16 time=33.48s lr=0.0001 grad_norm=0.550594 mask_ratio_lastbatch=0.107479 cuda_mem_alloc_mb=245.98 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.34
INFO | SYSTEM | epoch=17 time=33.74s lr=0.0001 grad_norm=0.716856 mask_ratio_lastbatch=0.116236 cuda_mem_alloc_mb=245.98 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.34
INFO | SYSTEM | epoch=18 time=33.59s lr=0.0001 grad_norm=0.658588 mask_ratio_lastbatch=0.111002 cuda_mem_alloc_mb=246.05 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.34
INFO | SYSTEM | epoch=19 time=33.87s lr=0.0001 grad_norm=1.461219 mask_ratio_lastbatch=0.107456 cuda_mem_alloc_mb=246.14 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.34
INFO | SYSTEM | epoch=20 time=32.73s lr=0.0001 grad_norm=1.703072 mask_ratio_lastbatch=0.111641 cuda_mem_alloc_mb=246.06 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=21 time=33.25s lr=0.0001 grad_norm=1.261758 mask_ratio_lastbatch=0.114420 cuda_mem_alloc_mb=245.98 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=22 time=31.34s lr=0.0001 grad_norm=0.445179 mask_ratio_lastbatch=0.115434 cuda_mem_alloc_mb=245.90 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=23 time=33.24s lr=0.0001 grad_norm=1.350312 mask_ratio_lastbatch=0.113569 cuda_mem_alloc_mb=245.96 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=24 time=30.94s lr=0.0001 grad_norm=2.354981 mask_ratio_lastbatch=0.103193 cuda_mem_alloc_mb=246.05 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=25 time=29.42s lr=0.0001 grad_norm=0.539585 mask_ratio_lastbatch=0.116002 cuda_mem_alloc_mb=246.09 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=26 time=30.17s lr=0.0001 grad_norm=2.099106 mask_ratio_lastbatch=0.120076 cuda_mem_alloc_mb=246.01 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=27 time=33.82s lr=0.0001 grad_norm=1.544401 mask_ratio_lastbatch=0.120987 cuda_mem_alloc_mb=246.14 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=28 time=31.07s lr=0.0001 grad_norm=0.734338 mask_ratio_lastbatch=0.096235 cuda_mem_alloc_mb=245.99 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=29 time=31.33s lr=0.0001 grad_norm=1.772951 mask_ratio_lastbatch=0.106212 cuda_mem_alloc_mb=246.04 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=30 time=29.31s lr=0.0001 grad_norm=1.460246 mask_ratio_lastbatch=0.102976 cuda_mem_alloc_mb=245.97 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=31 time=30.31s lr=0.0001 grad_norm=2.234103 mask_ratio_lastbatch=0.106173 cuda_mem_alloc_mb=245.98 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=32 time=29.22s lr=0.0001 grad_norm=2.217979 mask_ratio_lastbatch=0.088788 cuda_mem_alloc_mb=246.04 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=33 time=29.25s lr=0.0001 grad_norm=2.359271 mask_ratio_lastbatch=0.122207 cuda_mem_alloc_mb=246.00 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=34 time=30.03s lr=0.0001 grad_norm=1.864573 mask_ratio_lastbatch=0.101875 cuda_mem_alloc_mb=246.03 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=35 time=30.71s lr=0.0001 grad_norm=1.732041 mask_ratio_lastbatch=0.114769 cuda_mem_alloc_mb=246.00 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=36 time=29.15s lr=5e-05 grad_norm=2.720298 mask_ratio_lastbatch=0.115625 cuda_mem_alloc_mb=246.07 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=37 time=30.58s lr=5e-05 grad_norm=1.420674 mask_ratio_lastbatch=0.106394 cuda_mem_alloc_mb=245.96 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=38 time=30.88s lr=5e-05 grad_norm=1.593128 mask_ratio_lastbatch=0.098726 cuda_mem_alloc_mb=246.03 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=39 time=29.66s lr=5e-05 grad_norm=2.535785 mask_ratio_lastbatch=0.107667 cuda_mem_alloc_mb=246.02 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=40 time=30.22s lr=5e-05 grad_norm=0.585704 mask_ratio_lastbatch=0.111945 cuda_mem_alloc_mb=245.98 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
INFO | SYSTEM | epoch=41 time=29.11s lr=5e-05 grad_norm=1.066246 mask_ratio_lastbatch=0.126551 cuda_mem_alloc_mb=246.00 cuda_mem_reserved_mb=1924.00 cuda_mem_max_alloc_mb=760.37
