2025-12-23 05:49:45,383 | INFO | TOP_ERR | split=test epoch=0 rank=1/10 b=144 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=-0.004775 diff=-32.293292 abs_err=32.293293
2025-12-23 05:49:45,384 | INFO | TOP_ERR | split=test epoch=0 rank=2/10 b=145 t=4 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=-0.004775 diff=-32.293292 abs_err=32.293293
2025-12-23 05:49:45,384 | INFO | TOP_ERR | split=test epoch=0 rank=3/10 b=139 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=0.016729 diff=-32.271788 abs_err=32.271790
2025-12-23 05:49:45,384 | INFO | TOP_ERR | split=test epoch=0 rank=4/10 b=138 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=0.024475 diff=-32.264042 abs_err=32.264042
2025-12-23 05:49:45,384 | INFO | TOP_ERR | split=test epoch=0 rank=5/10 b=141 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=0.024556 diff=-32.263961 abs_err=32.263962
2025-12-23 05:49:45,384 | INFO | TOP_ERR | split=test epoch=0 rank=6/10 b=142 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=0.024592 diff=-32.263925 abs_err=32.263924
2025-12-23 05:49:45,385 | INFO | TOP_ERR | split=test epoch=0 rank=7/10 b=140 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=0.026824 diff=-32.261693 abs_err=32.261692
2025-12-23 05:49:45,385 | INFO | TOP_ERR | split=test epoch=0 rank=8/10 b=134 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=0.032498 diff=-32.256019 abs_err=32.256020
2025-12-23 05:49:45,385 | INFO | TOP_ERR | split=test epoch=0 rank=9/10 b=133 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=0.033820 diff=-32.254697 abs_err=32.254696
2025-12-23 05:49:45,385 | INFO | TOP_ERR | split=test epoch=0 rank=10/10 b=137 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=0.034482 diff=-32.254035 abs_err=32.254036
2025-12-23 05:49:45,385 | INFO | TOP_BEST | split=test epoch=0 rank=1/3 b=143 t=67 var_idx=3 tp=1.858000 y_true=0.128008 y_pred=0.127716 diff=-0.000291 abs_err=0.000291
2025-12-23 05:49:45,386 | INFO | TOP_BEST | split=test epoch=0 rank=2/3 b=101 t=15 var_idx=3 tp=1.178000 y_true=-0.158430 y_pred=-0.160036 diff=-0.001606 abs_err=0.001606
2025-12-23 05:49:45,386 | INFO | TOP_BEST | split=test epoch=0 rank=3/3 b=107 t=83 var_idx=4 tp=1.858000 y_true=0.249475 y_pred=0.251110 diff=0.001635 abs_err=0.001635
2025-12-23 05:49:45,386 | INFO | TOP_OK | split=test epoch=0 none_found (no exact matches)
2025-12-23 05:49:57,860 | INFO | TOP_ERR | split=test epoch=1 rank=1/10 b=140 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=-0.036670 diff=-32.325187 abs_err=32.325188
2025-12-23 05:49:57,861 | INFO | TOP_ERR | split=test epoch=1 rank=2/10 b=141 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=-0.024595 diff=-32.313112 abs_err=32.313110
2025-12-23 05:49:57,861 | INFO | TOP_ERR | split=test epoch=1 rank=3/10 b=142 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=-0.021442 diff=-32.309959 abs_err=32.309959
2025-12-23 05:49:57,861 | INFO | TOP_ERR | split=test epoch=1 rank=4/10 b=139 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=-0.019008 diff=-32.307525 abs_err=32.307526
2025-12-23 05:49:57,861 | INFO | TOP_ERR | split=test epoch=1 rank=5/10 b=144 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=-0.014833 diff=-32.303350 abs_err=32.303349
2025-12-23 05:49:57,861 | INFO | TOP_ERR | split=test epoch=1 rank=6/10 b=145 t=4 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=-0.014833 diff=-32.303350 abs_err=32.303349
2025-12-23 05:49:57,861 | INFO | TOP_ERR | split=test epoch=1 rank=7/10 b=138 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=-0.007427 diff=-32.295944 abs_err=32.295944
2025-12-23 05:49:57,862 | INFO | TOP_ERR | split=test epoch=1 rank=8/10 b=143 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=0.000697 diff=-32.287820 abs_err=32.287819
2025-12-23 05:49:57,862 | INFO | TOP_ERR | split=test epoch=1 rank=9/10 b=133 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=0.014501 diff=-32.274016 abs_err=32.274017
2025-12-23 05:49:57,862 | INFO | TOP_ERR | split=test epoch=1 rank=10/10 b=137 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=0.016393 diff=-32.272124 abs_err=32.272125
2025-12-23 05:49:57,862 | INFO | TOP_BEST | split=test epoch=1 rank=1/3 b=32 t=27 var_idx=3 tp=1.404000 y_true=-0.158430 y_pred=-0.158437 diff=-0.000007 abs_err=0.000007
2025-12-23 05:49:57,862 | INFO | TOP_BEST | split=test epoch=1 rank=2/3 b=35 t=27 var_idx=3 tp=1.404000 y_true=-0.158430 y_pred=-0.157055 diff=0.001375 abs_err=0.001375
2025-12-23 05:49:57,863 | INFO | TOP_BEST | split=test epoch=1 rank=3/3 b=102 t=15 var_idx=3 tp=1.178000 y_true=-0.158430 y_pred=-0.161635 diff=-0.003205 abs_err=0.003205
2025-12-23 05:49:57,863 | INFO | TOP_OK | split=test epoch=1 none_found (no exact matches)
2025-12-23 05:50:11,327 | INFO | TOP_ERR | split=test epoch=2 rank=1/10 b=144 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=-0.056783 diff=-32.345300 abs_err=32.345299
2025-12-23 05:50:11,327 | INFO | TOP_ERR | split=test epoch=2 rank=2/10 b=145 t=4 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=-0.056783 diff=-32.345300 abs_err=32.345299
2025-12-23 05:50:11,327 | INFO | TOP_ERR | split=test epoch=2 rank=3/10 b=140 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=-0.054961 diff=-32.343478 abs_err=32.343479
2025-12-23 05:50:11,327 | INFO | TOP_ERR | split=test epoch=2 rank=4/10 b=139 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=-0.054172 diff=-32.342689 abs_err=32.342690
2025-12-23 05:50:11,327 | INFO | TOP_ERR | split=test epoch=2 rank=5/10 b=141 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=-0.054155 diff=-32.342672 abs_err=32.342670
2025-12-23 05:50:11,327 | INFO | TOP_ERR | split=test epoch=2 rank=6/10 b=142 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=-0.052714 diff=-32.341231 abs_err=32.341232
2025-12-23 05:50:11,328 | INFO | TOP_ERR | split=test epoch=2 rank=7/10 b=138 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=-0.052386 diff=-32.340903 abs_err=32.340904
2025-12-23 05:50:11,328 | INFO | TOP_ERR | split=test epoch=2 rank=8/10 b=143 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=-0.049105 diff=-32.337622 abs_err=32.337624
2025-12-23 05:50:11,328 | INFO | TOP_ERR | split=test epoch=2 rank=9/10 b=137 t=8 var_idx=1 tp=1.152000 y_true=32.288517 y_pred=-0.042773 diff=-32.331290 abs_err=32.331291
