INFO | TOP_ERR | split=test epoch=0 rank=1/10 b=187 t=36 var_idx=1 tp=2.046000 y_true=15.642213 y_pred=0.024820 diff=-15.617392 abs_err=15.617393
INFO | TOP_ERR | split=test epoch=0 rank=2/10 b=186 t=44 var_idx=1 tp=2.046000 y_true=15.642213 y_pred=0.024820 diff=-15.617392 abs_err=15.617393
INFO | TOP_ERR | split=test epoch=0 rank=3/10 b=184 t=57 var_idx=1 tp=2.046000 y_true=15.642213 y_pred=0.024820 diff=-15.617392 abs_err=15.617393
INFO | TOP_ERR | split=test epoch=0 rank=4/10 b=185 t=49 var_idx=1 tp=2.046000 y_true=15.642213 y_pred=0.024820 diff=-15.617392 abs_err=15.617393
INFO | TOP_ERR | split=test epoch=0 rank=5/10 b=181 t=85 var_idx=1 tp=2.046000 y_true=15.642213 y_pred=0.024820 diff=-15.617392 abs_err=15.617393
INFO | TOP_ERR | split=test epoch=0 rank=6/10 b=180 t=94 var_idx=1 tp=2.046000 y_true=15.642213 y_pred=0.024820 diff=-15.617392 abs_err=15.617393
INFO | TOP_ERR | split=test epoch=0 rank=7/10 b=182 t=77 var_idx=1 tp=2.046000 y_true=15.642213 y_pred=0.024820 diff=-15.617392 abs_err=15.617393
INFO | TOP_ERR | split=test epoch=0 rank=8/10 b=183 t=66 var_idx=1 tp=2.046000 y_true=15.642213 y_pred=0.024820 diff=-15.617392 abs_err=15.617393
INFO | TOP_ERR | split=test epoch=0 rank=9/10 b=188 t=31 var_idx=1 tp=2.046000 y_true=15.642213 y_pred=0.024820 diff=-15.617392 abs_err=15.617393
INFO | TOP_ERR | split=test epoch=0 rank=10/10 b=189 t=22 var_idx=1 tp=2.046000 y_true=15.642213 y_pred=0.024820 diff=-15.617392 abs_err=15.617393
INFO | TOP_BEST | split=test epoch=0 rank=1/3 b=38 t=48 var_idx=4 tp=1.684000 y_true=0.040776 y_pred=0.041469 diff=0.000694 abs_err=0.000694
INFO | TOP_BEST | split=test epoch=0 rank=2/3 b=37 t=53 var_idx=4 tp=1.684000 y_true=0.040776 y_pred=0.041469 diff=0.000694 abs_err=0.000694
INFO | TOP_BEST | split=test epoch=0 rank=3/3 b=36 t=62 var_idx=4 tp=1.684000 y_true=0.040776 y_pred=0.041469 diff=0.000694 abs_err=0.000694
INFO | TOP_OK | split=test epoch=0 none_found (no exact matches)
INFO | TOP_ERR | split=test epoch=1 rank=1/10 b=187 t=36 var_idx=1 tp=2.046000 y_true=15.642213 y_pred=-0.034875 diff=-15.677088 abs_err=15.677088
INFO | TOP_ERR | split=test epoch=1 rank=2/10 b=186 t=44 var_idx=1 tp=2.046000 y_true=15.642213 y_pred=-0.034875 diff=-15.677088 abs_err=15.677088
INFO | TOP_ERR | split=test epoch=1 rank=3/10 b=184 t=57 var_idx=1 tp=2.046000 y_true=15.642213 y_pred=-0.034875 diff=-15.677088 abs_err=15.677088
INFO | TOP_ERR | split=test epoch=1 rank=4/10 b=185 t=49 var_idx=1 tp=2.046000 y_true=15.642213 y_pred=-0.034875 diff=-15.677088 abs_err=15.677088
INFO | TOP_ERR | split=test epoch=1 rank=5/10 b=181 t=85 var_idx=1 tp=2.046000 y_true=15.642213 y_pred=-0.034875 diff=-15.677088 abs_err=15.677088
INFO | TOP_ERR | split=test epoch=1 rank=6/10 b=180 t=94 var_idx=1 tp=2.046000 y_true=15.642213 y_pred=-0.034875 diff=-15.677088 abs_err=15.677088
INFO | TOP_ERR | split=test epoch=1 rank=7/10 b=182 t=77 var_idx=1 tp=2.046000 y_true=15.642213 y_pred=-0.034875 diff=-15.677088 abs_err=15.677088
INFO | TOP_ERR | split=test epoch=1 rank=8/10 b=183 t=66 var_idx=1 tp=2.046000 y_true=15.642213 y_pred=-0.034875 diff=-15.677088 abs_err=15.677088
INFO | TOP_ERR | split=test epoch=1 rank=9/10 b=188 t=31 var_idx=1 tp=2.046000 y_true=15.642213 y_pred=-0.034875 diff=-15.677088 abs_err=15.677088
INFO | TOP_ERR | split=test epoch=1 rank=10/10 b=189 t=22 var_idx=1 tp=2.046000 y_true=15.642213 y_pred=-0.034875 diff=-15.677088 abs_err=15.677088
INFO | TOP_BEST | split=test epoch=1 rank=1/3 b=74 t=11 var_idx=3 tp=1.256000 y_true=0.080268 y_pred=0.080259 diff=-0.000009 abs_err=0.000009
