INFO | TOP_ERR | split=test epoch=0 rank=1/10 b=11 t=135 var_idx=0 tp=1.760000 y_true=6.275026 y_pred=0.017113 diff=-6.257913 abs_err=6.257913
INFO | TOP_ERR | split=test epoch=0 rank=2/10 b=10 t=135 var_idx=0 tp=1.760000 y_true=6.275026 y_pred=0.017113 diff=-6.257913 abs_err=6.257913
INFO | TOP_ERR | split=test epoch=0 rank=3/10 b=15 t=135 var_idx=0 tp=1.760000 y_true=6.275026 y_pred=0.017113 diff=-6.257913 abs_err=6.257913
INFO | TOP_ERR | split=test epoch=0 rank=4/10 b=14 t=135 var_idx=0 tp=1.760000 y_true=6.275026 y_pred=0.017113 diff=-6.257913 abs_err=6.257913
INFO | TOP_ERR | split=test epoch=0 rank=5/10 b=13 t=135 var_idx=0 tp=1.760000 y_true=6.275026 y_pred=0.017113 diff=-6.257913 abs_err=6.257913
INFO | TOP_ERR | split=test epoch=0 rank=6/10 b=12 t=135 var_idx=0 tp=1.760000 y_true=6.275026 y_pred=0.017113 diff=-6.257913 abs_err=6.257913
INFO | TOP_ERR | split=test epoch=0 rank=7/10 b=15 t=161 var_idx=4 tp=1.983000 y_true=-3.298417 y_pred=0.058165 diff=3.356581 abs_err=3.356581
INFO | TOP_ERR | split=test epoch=0 rank=8/10 b=15 t=160 var_idx=2 tp=1.977000 y_true=3.436713 y_pred=0.112311 diff=-3.324401 abs_err=3.324401
INFO | TOP_ERR | split=test epoch=0 rank=9/10 b=5 t=87 var_idx=4 tp=1.536000 y_true=-2.463619 y_pred=-0.080289 diff=2.383329 abs_err=2.383329
INFO | TOP_ERR | split=test epoch=0 rank=10/10 b=6 t=87 var_idx=4 tp=1.536000 y_true=-2.463619 y_pred=-0.080297 diff=2.383322 abs_err=2.383322
INFO | TOP_BEST | split=test epoch=0 rank=1/3 b=18 t=4 var_idx=4 tp=1.024000 y_true=-1.367946 y_pred=-1.369592 diff=-0.001646 abs_err=0.001646
INFO | TOP_BEST | split=test epoch=0 rank=2/3 b=19 t=4 var_idx=4 tp=1.024000 y_true=-1.367946 y_pred=-1.370956 diff=-0.003010 abs_err=0.003010
INFO | TOP_BEST | split=test epoch=0 rank=3/3 b=25 t=25 var_idx=4 tp=1.144000 y_true=-0.428798 y_pred=-0.425491 diff=0.003307 abs_err=0.003307
INFO | TOP_OK | split=test epoch=0 none_found (no exact matches)
INFO | TOP_ERR | split=test epoch=2 rank=1/10 b=10 t=135 var_idx=0 tp=1.760000 y_true=6.275026 y_pred=-0.068312 diff=-6.343337 abs_err=6.343338
INFO | TOP_ERR | split=test epoch=2 rank=2/10 b=14 t=135 var_idx=0 tp=1.760000 y_true=6.275026 y_pred=-0.068312 diff=-6.343337 abs_err=6.343338
INFO | TOP_ERR | split=test epoch=2 rank=3/10 b=11 t=135 var_idx=0 tp=1.760000 y_true=6.275026 y_pred=-0.068312 diff=-6.343337 abs_err=6.343338
INFO | TOP_ERR | split=test epoch=2 rank=4/10 b=13 t=135 var_idx=0 tp=1.760000 y_true=6.275026 y_pred=-0.068312 diff=-6.343337 abs_err=6.343338
INFO | TOP_ERR | split=test epoch=2 rank=5/10 b=12 t=135 var_idx=0 tp=1.760000 y_true=6.275026 y_pred=-0.068312 diff=-6.343337 abs_err=6.343338
INFO | TOP_ERR | split=test epoch=2 rank=6/10 b=15 t=135 var_idx=0 tp=1.760000 y_true=6.275026 y_pred=-0.064791 diff=-6.339817 abs_err=6.339817
INFO | TOP_ERR | split=test epoch=2 rank=7/10 b=15 t=160 var_idx=2 tp=1.977000 y_true=3.436713 y_pred=-0.068312 diff=-3.505024 abs_err=3.505024
INFO | TOP_ERR | split=test epoch=2 rank=8/10 b=15 t=161 var_idx=4 tp=1.983000 y_true=-3.298417 y_pred=-1.018863 diff=2.279554 abs_err=2.279554
INFO | TOP_ERR | split=test epoch=2 rank=9/10 b=12 t=6 var_idx=1 tp=1.010000 y_true=2.500394 y_pred=0.607228 diff=-1.893166 abs_err=1.893166
INFO | TOP_ERR | split=test epoch=2 rank=10/10 b=10 t=6 var_idx=1 tp=1.010000 y_true=2.500394 y_pred=0.629492 diff=-1.870902 abs_err=1.870902
INFO | TOP_BEST | split=test epoch=2 rank=1/3 b=30 t=18 var_idx=4 tp=1.101000 y_true=-0.637498 y_pred=-0.638561 diff=-0.001063 abs_err=0.001063
INFO | TOP_BEST | split=test epoch=2 rank=2/3 b=6 t=15 var_idx=4 tp=1.079000 y_true=-1.159247 y_pred=-1.160733 diff=-0.001486 abs_err=0.001486
INFO | TOP_BEST | split=test epoch=2 rank=3/3 b=5 t=15 var_idx=4 tp=1.079000 y_true=-1.159247 y_pred=-1.161186 diff=-0.001940 abs_err=0.001940
INFO | TOP_OK | split=test epoch=2 none_found (no exact matches)
INFO | TOP_ERR | split=test epoch=3 rank=1/10 b=11 t=135 var_idx=0 tp=1.760000 y_true=6.275026 y_pred=-0.055356 diff=-6.330382 abs_err=6.330382
INFO | TOP_ERR | split=test epoch=3 rank=2/10 b=10 t=135 var_idx=0 tp=1.760000 y_true=6.275026 y_pred=-0.055356 diff=-6.330382 abs_err=6.330382
INFO | TOP_ERR | split=test epoch=3 rank=3/10 b=15 t=135 var_idx=0 tp=1.760000 y_true=6.275026 y_pred=-0.055356 diff=-6.330382 abs_err=6.330382
INFO | TOP_ERR | split=test epoch=3 rank=4/10 b=14 t=135 var_idx=0 tp=1.760000 y_true=6.275026 y_pred=-0.055356 diff=-6.330382 abs_err=6.330382
INFO | TOP_ERR | split=test epoch=3 rank=5/10 b=13 t=135 var_idx=0 tp=1.760000 y_true=6.275026 y_pred=-0.055356 diff=-6.330382 abs_err=6.330382
INFO | TOP_ERR | split=test epoch=3 rank=6/10 b=12 t=135 var_idx=0 tp=1.760000 y_true=6.275026 y_pred=-0.055356 diff=-6.330382 abs_err=6.330382
INFO | TOP_ERR | split=test epoch=3 rank=7/10 b=15 t=160 var_idx=2 tp=1.977000 y_true=3.436713 y_pred=-0.055356 diff=-3.492068 abs_err=3.492068
INFO | TOP_ERR | split=test epoch=3 rank=8/10 b=15 t=161 var_idx=4 tp=1.983000 y_true=-3.298417 y_pred=-1.008700 diff=2.289717 abs_err=2.289717
INFO | TOP_ERR | split=test epoch=3 rank=9/10 b=12 t=6 var_idx=1 tp=1.010000 y_true=2.500394 y_pred=0.554839 diff=-1.945555 abs_err=1.945555
INFO | TOP_ERR | split=test epoch=3 rank=10/10 b=9 t=6 var_idx=1 tp=1.010000 y_true=2.500394 y_pred=0.565190 diff=-1.935204 abs_err=1.935204
INFO | TOP_BEST | split=test epoch=3 rank=1/3 b=9 t=114 var_idx=4 tp=1.675000 y_true=0.040776 y_pred=0.040871 diff=0.000096 abs_err=0.000096
INFO | TOP_BEST | split=test epoch=3 rank=2/3 b=8 t=35 var_idx=2 tp=1.196000 y_true=-0.173762 y_pred=-0.172344 diff=0.001419 abs_err=0.001419
INFO | TOP_BEST | split=test epoch=3 rank=3/3 b=9 t=48 var_idx=4 tp=1.250000 y_true=0.719049 y_pred=0.720591 diff=0.001542 abs_err=0.001542
INFO | TOP_OK | split=test epoch=3 none_found (no exact matches)
