2025-12-23 05:31:59,509 | INFO | SYSTEM | epoch=0 time=18.71s lr=0.001 grad_norm=1.628333 mask_ratio_lastbatch=0.146800 cuda_mem_alloc_mb=230.18 cuda_mem_reserved_mb=3128.00 cuda_mem_max_alloc_mb=1296.49
2025-12-23 05:32:11,702 | INFO | SYSTEM | epoch=1 time=12.19s lr=0.001 grad_norm=2.176529 mask_ratio_lastbatch=0.142756 cuda_mem_alloc_mb=230.12 cuda_mem_reserved_mb=3130.00 cuda_mem_max_alloc_mb=1299.52
2025-12-23 05:32:23,862 | INFO | SYSTEM | epoch=2 time=12.16s lr=0.001 grad_norm=2.527721 mask_ratio_lastbatch=0.150165 cuda_mem_alloc_mb=230.21 cuda_mem_reserved_mb=3130.00 cuda_mem_max_alloc_mb=1299.52
2025-12-23 05:32:36,229 | INFO | SYSTEM | epoch=3 time=12.37s lr=0.001 grad_norm=3.036814 mask_ratio_lastbatch=0.144199 cuda_mem_alloc_mb=230.07 cuda_mem_reserved_mb=3130.00 cuda_mem_max_alloc_mb=1299.66
2025-12-23 05:32:48,410 | INFO | SYSTEM | epoch=4 time=12.18s lr=0.001 grad_norm=3.423709 mask_ratio_lastbatch=0.140975 cuda_mem_alloc_mb=230.17 cuda_mem_reserved_mb=3866.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:32:58,998 | INFO | SYSTEM | epoch=5 time=10.59s lr=0.001 grad_norm=3.473403 mask_ratio_lastbatch=0.143654 cuda_mem_alloc_mb=230.23 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:33:11,200 | INFO | SYSTEM | epoch=6 time=12.20s lr=0.001 grad_norm=4.246083 mask_ratio_lastbatch=0.143403 cuda_mem_alloc_mb=230.28 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:33:23,372 | INFO | SYSTEM | epoch=7 time=12.17s lr=0.001 grad_norm=4.546832 mask_ratio_lastbatch=0.146846 cuda_mem_alloc_mb=230.14 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:33:35,720 | INFO | SYSTEM | epoch=8 time=12.35s lr=0.001 grad_norm=5.230526 mask_ratio_lastbatch=0.136029 cuda_mem_alloc_mb=230.31 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:33:47,906 | INFO | SYSTEM | epoch=9 time=12.19s lr=0.001 grad_norm=5.740886 mask_ratio_lastbatch=0.136554 cuda_mem_alloc_mb=230.32 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:34:00,077 | INFO | SYSTEM | epoch=10 time=12.17s lr=0.001 grad_norm=6.489913 mask_ratio_lastbatch=0.142801 cuda_mem_alloc_mb=230.23 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:34:10,788 | INFO | SYSTEM | epoch=11 time=10.71s lr=0.001 grad_norm=7.005372 mask_ratio_lastbatch=0.143273 cuda_mem_alloc_mb=230.12 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:34:21,447 | INFO | SYSTEM | epoch=12 time=10.66s lr=0.001 grad_norm=7.419167 mask_ratio_lastbatch=0.144493 cuda_mem_alloc_mb=230.15 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:34:32,117 | INFO | SYSTEM | epoch=13 time=10.67s lr=0.001 grad_norm=8.317905 mask_ratio_lastbatch=0.135426 cuda_mem_alloc_mb=230.18 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:34:44,340 | INFO | SYSTEM | epoch=14 time=12.22s lr=0.001 grad_norm=8.847963 mask_ratio_lastbatch=0.144351 cuda_mem_alloc_mb=230.13 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:34:54,989 | INFO | SYSTEM | epoch=15 time=10.65s lr=0.001 grad_norm=9.793741 mask_ratio_lastbatch=0.144116 cuda_mem_alloc_mb=230.22 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:35:05,624 | INFO | SYSTEM | epoch=16 time=10.63s lr=0.001 grad_norm=10.350655 mask_ratio_lastbatch=0.136541 cuda_mem_alloc_mb=230.13 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:35:16,271 | INFO | SYSTEM | epoch=17 time=10.65s lr=0.001 grad_norm=11.136260 mask_ratio_lastbatch=0.148245 cuda_mem_alloc_mb=230.15 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:35:27,694 | INFO | SYSTEM | epoch=18 time=11.42s lr=0.001 grad_norm=11.743541 mask_ratio_lastbatch=0.139537 cuda_mem_alloc_mb=230.30 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:35:40,075 | INFO | SYSTEM | epoch=19 time=12.38s lr=0.001 grad_norm=12.640274 mask_ratio_lastbatch=0.142294 cuda_mem_alloc_mb=230.11 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:35:52,843 | INFO | SYSTEM | epoch=20 time=12.77s lr=0.001 grad_norm=13.377883 mask_ratio_lastbatch=0.143421 cuda_mem_alloc_mb=230.31 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:36:03,497 | INFO | SYSTEM | epoch=21 time=10.65s lr=0.001 grad_norm=14.095465 mask_ratio_lastbatch=0.137667 cuda_mem_alloc_mb=230.16 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:36:14,522 | INFO | SYSTEM | epoch=22 time=11.02s lr=0.001 grad_norm=14.918557 mask_ratio_lastbatch=0.152935 cuda_mem_alloc_mb=230.15 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:36:25,435 | INFO | SYSTEM | epoch=23 time=10.91s lr=0.001 grad_norm=15.917620 mask_ratio_lastbatch=0.141488 cuda_mem_alloc_mb=230.17 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:36:36,096 | INFO | SYSTEM | epoch=24 time=10.66s lr=0.001 grad_norm=16.826435 mask_ratio_lastbatch=0.143917 cuda_mem_alloc_mb=230.34 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:36:48,363 | INFO | SYSTEM | epoch=25 time=12.27s lr=0.001 grad_norm=17.535279 mask_ratio_lastbatch=0.134314 cuda_mem_alloc_mb=230.21 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:36:59,017 | INFO | SYSTEM | epoch=26 time=10.65s lr=0.001 grad_norm=18.152431 mask_ratio_lastbatch=0.138600 cuda_mem_alloc_mb=230.15 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:37:09,825 | INFO | SYSTEM | epoch=27 time=10.81s lr=0.001 grad_norm=19.065415 mask_ratio_lastbatch=0.150953 cuda_mem_alloc_mb=230.17 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:37:20,496 | INFO | SYSTEM | epoch=28 time=10.67s lr=0.001 grad_norm=20.114537 mask_ratio_lastbatch=0.143087 cuda_mem_alloc_mb=230.19 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:37:31,158 | INFO | SYSTEM | epoch=29 time=10.66s lr=0.001 grad_norm=20.651750 mask_ratio_lastbatch=0.147712 cuda_mem_alloc_mb=230.12 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:37:41,784 | INFO | SYSTEM | epoch=30 time=10.63s lr=0.001 grad_norm=21.478595 mask_ratio_lastbatch=0.133371 cuda_mem_alloc_mb=230.12 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:37:52,822 | INFO | SYSTEM | epoch=31 time=11.04s lr=0.001 grad_norm=22.123690 mask_ratio_lastbatch=0.137509 cuda_mem_alloc_mb=230.24 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:38:03,856 | INFO | SYSTEM | epoch=32 time=11.03s lr=0.001 grad_norm=23.156763 mask_ratio_lastbatch=0.131005 cuda_mem_alloc_mb=230.11 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:38:14,782 | INFO | SYSTEM | epoch=33 time=10.92s lr=0.001 grad_norm=23.755458 mask_ratio_lastbatch=0.145237 cuda_mem_alloc_mb=230.14 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
2025-12-23 05:38:25,371 | INFO | SYSTEM | epoch=34 time=10.59s lr=0.0005 grad_norm=24.467690 mask_ratio_lastbatch=0.152208 cuda_mem_alloc_mb=230.16 cuda_mem_reserved_mb=3868.00 cuda_mem_max_alloc_mb=1333.03
