INFO | Test - WorstChannelByMAE: ch=15 mae=0.505138 (n=17742)
INFO | - Epoch 000, ExpID 56983 best_epoch=0 improved=1
INFO | Train - Loss (last batch): 0.04509
INFO | Val - Loss, MSE, MAE: 0.04539, 0.04539, 0.17094
INFO | Test - Best epoch, Loss, MSE, MAE: 0, 0.04643, 0.04643, 0.17045
INFO | Test - Points (EXACT): total_masked=424439 correct=26228 right_rate=6.1795%
INFO | Test - WorstChannelByMAE: ch=18 mae=0.233991 (n=4540)
INFO | - Epoch 001, ExpID 56983 best_epoch=1 improved=1
INFO | Train - Loss (last batch): 0.01194
INFO | Val - Loss, MSE, MAE: 0.01153, 0.01153, 0.07160
INFO | Test - Best epoch, Loss, MSE, MAE: 1, 0.01279, 0.01279, 0.07115
INFO | Test - Points (EXACT): total_masked=424439 correct=63205 right_rate=14.8914%
INFO | Test - WorstChannelByMAE: ch=37 mae=0.199065 (n=70)
INFO | - Epoch 002, ExpID 56983 best_epoch=2 improved=1
INFO | Train - Loss (last batch): 0.00862
INFO | Val - Loss, MSE, MAE: 0.00872, 0.00872, 0.05794
INFO | Test - Best epoch, Loss, MSE, MAE: 2, 0.01017, 0.01017, 0.05781
INFO | Test - Points (EXACT): total_masked=424439 correct=82540 right_rate=19.4468%
INFO | Test - WorstChannelByMAE: ch=37 mae=0.163975 (n=70)
INFO | - Epoch 003, ExpID 56983 best_epoch=3 improved=1
INFO | Train - Loss (last batch): 0.00763
INFO | Val - Loss, MSE, MAE: 0.00727, 0.00727, 0.05149
INFO | Test - Best epoch, Loss, MSE, MAE: 3, 0.00883, 0.00883, 0.05189
INFO | Test - Points (EXACT): total_masked=424439 correct=83903 right_rate=19.7680%
INFO | Test - WorstChannelByMAE: ch=15 mae=0.159590 (n=17742)
INFO | - Epoch 004, ExpID 56983 best_epoch=4 improved=1
INFO | Train - Loss (last batch): 0.00602
INFO | Val - Loss, MSE, MAE: 0.00693, 0.00693, 0.05040
INFO | Test - Best epoch, Loss, MSE, MAE: 4, 0.00853, 0.00853, 0.05093
INFO | Test - Points (EXACT): total_masked=424439 correct=84631 right_rate=19.9395%
INFO | Test - WorstChannelByMAE: ch=15 mae=0.140474 (n=17742)
INFO | - Epoch 005, ExpID 56983 best_epoch=5 improved=1
INFO | Train - Loss (last batch): 0.00752
INFO | Val - Loss, MSE, MAE: 0.00670, 0.00670, 0.04967
INFO | Test - Best epoch, Loss, MSE, MAE: 5, 0.00826, 0.00826, 0.05017
INFO | Test - Points (EXACT): total_masked=424439 correct=89830 right_rate=21.1644%
INFO | Test - WorstChannelByMAE: ch=15 mae=0.142728 (n=17742)
INFO | - Epoch 006, ExpID 56983 best_epoch=6 improved=1
INFO | Train - Loss (last batch): 0.00581
INFO | Val - Loss, MSE, MAE: 0.00659, 0.00659, 0.04926
INFO | Test - Best epoch, Loss, MSE, MAE: 6, 0.00815, 0.00815, 0.04975
INFO | Test - Points (EXACT): total_masked=424439 correct=85427 right_rate=20.1270%
INFO | Test - WorstChannelByMAE: ch=15 mae=0.147957 (n=17742)
INFO | - Epoch 007, ExpID 56983 best_epoch=7 improved=1
INFO | Train - Loss (last batch): 0.00451
INFO | Val - Loss, MSE, MAE: 0.00638, 0.00638, 0.04780
INFO | Test - Best epoch, Loss, MSE, MAE: 7, 0.00792, 0.00792, 0.04837
INFO | Test - Points (EXACT): total_masked=424439 correct=88413 right_rate=20.8306%
INFO | - Epoch 008, ExpID 56983 best_epoch=7 improved=0
INFO | Train - Loss (last batch): 0.00647
INFO | Val - Loss, MSE, MAE: 0.00669, 0.00669, 0.05009
INFO | Test - Best epoch, Loss, MSE, MAE: 7, 0.00792, 0.00792, 0.04837
INFO | Test - Points (EXACT): total_masked=424439 correct=88413 right_rate=20.8306%
INFO | - Epoch 009, ExpID 56983 best_epoch=7 improved=0
INFO | Train - Loss (last batch): 0.00925
INFO | Val - Loss, MSE, MAE: 0.00648, 0.00648, 0.04924
INFO | Test - Best epoch, Loss, MSE, MAE: 7, 0.00792, 0.00792, 0.04837
INFO | Test - Points (EXACT): total_masked=424439 correct=88413 right_rate=20.8306%
INFO | Test - WorstChannelByMAE: ch=15 mae=0.143773 (n=17742)
INFO | - Epoch 010, ExpID 56983 best_epoch=10 improved=1
INFO | Train - Loss (last batch): 0.00590
INFO | Val - Loss, MSE, MAE: 0.00612, 0.00612, 0.04662
INFO | Test - Best epoch, Loss, MSE, MAE: 10, 0.00765, 0.00765, 0.04722
INFO | Test - Points (EXACT): total_masked=424439 correct=96882 right_rate=22.8259%
INFO | - Epoch 011, ExpID 56983 best_epoch=10 improved=0
INFO | Train - Loss (last batch): 0.00681
INFO | Val - Loss, MSE, MAE: 0.00622, 0.00622, 0.04755
INFO | Test - Best epoch, Loss, MSE, MAE: 10, 0.00765, 0.00765, 0.04722
INFO | Test - Points (EXACT): total_masked=424439 correct=96882 right_rate=22.8259%
INFO | Test - WorstChannelByMAE: ch=15 mae=0.137074 (n=17742)
INFO | - Epoch 012, ExpID 56983 best_epoch=12 improved=1
INFO | Train - Loss (last batch): 0.00554
INFO | Val - Loss, MSE, MAE: 0.00600, 0.00600, 0.04588
INFO | Test - Best epoch, Loss, MSE, MAE: 12, 0.00749, 0.00749, 0.04659
INFO | Test - Points (EXACT): total_masked=424439 correct=101352 right_rate=23.8790%
INFO | - Epoch 013, ExpID 56983 best_epoch=12 improved=0
INFO | Train - Loss (last batch): 0.00574
INFO | Val - Loss, MSE, MAE: 0.00602, 0.00602, 0.04673
