INFO | Test - WorstChannelByMAE: ch=0 mae=0.468663 (n=8076)
INFO | - Epoch 000, ExpID 6562 best_epoch=0 improved=1
INFO | Train - Loss (last batch): 0.39020
INFO | Val - Loss, MSE, MAE: 0.87150, 0.87150, 0.36849
INFO | Test - Best epoch, Loss, MSE, MAE: 0, 0.53119, 0.53119, 0.34167
INFO | Test - Points (EXACT): total_masked=39143 correct=1290 right_rate=3.2956%
INFO | Test - WorstChannelByMAE: ch=0 mae=0.441862 (n=8076)
INFO | - Epoch 001, ExpID 6562 best_epoch=1 improved=1
INFO | Train - Loss (last batch): 0.48873
INFO | Val - Loss, MSE, MAE: 0.83097, 0.83097, 0.34311
INFO | Test - Best epoch, Loss, MSE, MAE: 1, 0.52506, 0.52506, 0.31893
INFO | Test - Points (EXACT): total_masked=39143 correct=1675 right_rate=4.2792%
INFO | Test - WorstChannelByMAE: ch=0 mae=0.448384 (n=8076)
INFO | - Epoch 002, ExpID 6562 best_epoch=2 improved=1
INFO | Train - Loss (last batch): 0.49256
INFO | Val - Loss, MSE, MAE: 0.77987, 0.77987, 0.36442
INFO | Test - Best epoch, Loss, MSE, MAE: 2, 0.51892, 0.51892, 0.34139
INFO | Test - Points (EXACT): total_masked=39143 correct=1422 right_rate=3.6328%
INFO | - Epoch 003, ExpID 6562 best_epoch=2 improved=0
INFO | Train - Loss (last batch): 0.55251
INFO | Val - Loss, MSE, MAE: 0.78241, 0.78241, 0.34539
INFO | Test - Best epoch, Loss, MSE, MAE: 2, 0.51892, 0.51892, 0.34139
INFO | Test - Points (EXACT): total_masked=39143 correct=1422 right_rate=3.6328%
INFO | - Epoch 004, ExpID 6562 best_epoch=2 improved=0
INFO | Train - Loss (last batch): 0.44861
INFO | Val - Loss, MSE, MAE: 0.79126, 0.79126, 0.38880
INFO | Test - Best epoch, Loss, MSE, MAE: 2, 0.51892, 0.51892, 0.34139
INFO | Test - Points (EXACT): total_masked=39143 correct=1422 right_rate=3.6328%
INFO | Test - WorstChannelByMAE: ch=0 mae=0.431051 (n=8076)
INFO | - Epoch 005, ExpID 6562 best_epoch=5 improved=1
INFO | Train - Loss (last batch): 0.54526
INFO | Val - Loss, MSE, MAE: 0.75743, 0.75743, 0.34187
INFO | Test - Best epoch, Loss, MSE, MAE: 5, 0.52215, 0.52215, 0.32039
INFO | Test - Points (EXACT): total_masked=39143 correct=2633 right_rate=6.7266%
INFO | Test - WorstChannelByMAE: ch=0 mae=0.478685 (n=8076)
INFO | - Epoch 006, ExpID 6562 best_epoch=6 improved=1
INFO | Train - Loss (last batch): 0.36535
INFO | Val - Loss, MSE, MAE: 0.75253, 0.75253, 0.36029
INFO | Test - Best epoch, Loss, MSE, MAE: 6, 0.53326, 0.53326, 0.33933
INFO | Test - Points (EXACT): total_masked=39143 correct=1103 right_rate=2.8179%
INFO | - Epoch 007, ExpID 6562 best_epoch=6 improved=0
INFO | Train - Loss (last batch): 0.61822
INFO | Val - Loss, MSE, MAE: 0.78187, 0.78187, 0.36103
INFO | Test - Best epoch, Loss, MSE, MAE: 6, 0.53326, 0.53326, 0.33933
INFO | Test - Points (EXACT): total_masked=39143 correct=1103 right_rate=2.8179%
INFO | Test - WorstChannelByMAE: ch=0 mae=0.452356 (n=8076)
INFO | - Epoch 008, ExpID 6562 best_epoch=8 improved=1
INFO | Train - Loss (last batch): 0.60213
INFO | Val - Loss, MSE, MAE: 0.71807, 0.71807, 0.33751
INFO | Test - Best epoch, Loss, MSE, MAE: 8, 0.51087, 0.51087, 0.31461
INFO | Test - Points (EXACT): total_masked=39143 correct=3467 right_rate=8.8573%
INFO | - Epoch 009, ExpID 6562 best_epoch=8 improved=0
INFO | Train - Loss (last batch): 0.42080
INFO | Val - Loss, MSE, MAE: 0.72661, 0.72661, 0.33828
INFO | Test - Best epoch, Loss, MSE, MAE: 8, 0.51087, 0.51087, 0.31461
INFO | Test - Points (EXACT): total_masked=39143 correct=3467 right_rate=8.8573%
INFO | - Epoch 010, ExpID 6562 best_epoch=8 improved=0
INFO | Train - Loss (last batch): 0.84999
INFO | Val - Loss, MSE, MAE: 0.74884, 0.74884, 0.36127
INFO | Test - Best epoch, Loss, MSE, MAE: 8, 0.51087, 0.51087, 0.31461
INFO | Test - Points (EXACT): total_masked=39143 correct=3467 right_rate=8.8573%
INFO | - Epoch 011, ExpID 6562 best_epoch=8 improved=0
INFO | Train - Loss (last batch): 0.71694
INFO | Val - Loss, MSE, MAE: 0.72600, 0.72600, 0.35268
INFO | Test - Best epoch, Loss, MSE, MAE: 8, 0.51087, 0.51087, 0.31461
INFO | Test - Points (EXACT): total_masked=39143 correct=3467 right_rate=8.8573%
INFO | - Epoch 012, ExpID 6562 best_epoch=8 improved=0
INFO | Train - Loss (last batch): 0.63141
INFO | Val - Loss, MSE, MAE: 0.77308, 0.77308, 0.33980
INFO | Test - Best epoch, Loss, MSE, MAE: 8, 0.51087, 0.51087, 0.31461
INFO | Test - Points (EXACT): total_masked=39143 correct=3467 right_rate=8.8573%
INFO | Test - WorstChannelByMAE: ch=0 mae=0.444498 (n=8076)
INFO | - Epoch 013, ExpID 6562 best_epoch=13 improved=1
INFO | Train - Loss (last batch): 0.33079
INFO | Val - Loss, MSE, MAE: 0.70748, 0.70748, 0.33903
INFO | Test - Best epoch, Loss, MSE, MAE: 13, 0.50846, 0.50846, 0.31554
INFO | Test - Points (EXACT): total_masked=39143 correct=2723 right_rate=6.9565%
