2025-12-22 02:25:38,467 | INFO | SYSTEM | epoch=0 time=6.69s lr=0.001 grad_norm=3.966737 mask_ratio_lastbatch=0.229877 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=2956.00 cuda_mem_max_alloc_mb=1371.40
2025-12-22 02:25:43,910 | INFO | SYSTEM | epoch=1 time=5.44s lr=0.001 grad_norm=3.988152 mask_ratio_lastbatch=0.232363 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=3758.00 cuda_mem_max_alloc_mb=1372.94
2025-12-22 02:25:49,370 | INFO | SYSTEM | epoch=2 time=5.46s lr=0.001 grad_norm=3.992324 mask_ratio_lastbatch=0.227273 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=3758.00 cuda_mem_max_alloc_mb=1372.94
2025-12-22 02:25:54,527 | INFO | SYSTEM | epoch=3 time=5.16s lr=0.001 grad_norm=4.015265 mask_ratio_lastbatch=0.227628 cuda_mem_alloc_mb=98.23 cuda_mem_reserved_mb=3758.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:25:59,455 | INFO | SYSTEM | epoch=4 time=4.93s lr=0.001 grad_norm=4.025873 mask_ratio_lastbatch=0.222312 cuda_mem_alloc_mb=98.06 cuda_mem_reserved_mb=3758.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:26:04,335 | INFO | SYSTEM | epoch=5 time=4.88s lr=0.001 grad_norm=4.037828 mask_ratio_lastbatch=0.229167 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=3758.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:26:10,048 | INFO | SYSTEM | epoch=6 time=5.71s lr=0.001 grad_norm=4.021257 mask_ratio_lastbatch=0.232244 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=3758.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:26:15,038 | INFO | SYSTEM | epoch=7 time=4.99s lr=0.001 grad_norm=4.026969 mask_ratio_lastbatch=0.227865 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=3758.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:26:19,940 | INFO | SYSTEM | epoch=8 time=4.90s lr=0.001 grad_norm=4.053135 mask_ratio_lastbatch=0.227036 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=3758.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:26:24,965 | INFO | SYSTEM | epoch=9 time=5.02s lr=0.001 grad_norm=4.062760 mask_ratio_lastbatch=0.234863 cuda_mem_alloc_mb=98.04 cuda_mem_reserved_mb=3758.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:26:30,590 | INFO | SYSTEM | epoch=10 time=5.62s lr=0.001 grad_norm=4.054187 mask_ratio_lastbatch=0.232126 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=3758.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:26:35,668 | INFO | SYSTEM | epoch=11 time=5.08s lr=0.001 grad_norm=4.073181 mask_ratio_lastbatch=0.229759 cuda_mem_alloc_mb=98.23 cuda_mem_reserved_mb=3758.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:26:40,883 | INFO | SYSTEM | epoch=12 time=5.21s lr=0.001 grad_norm=4.067615 mask_ratio_lastbatch=0.220588 cuda_mem_alloc_mb=98.06 cuda_mem_reserved_mb=3758.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:26:46,504 | INFO | SYSTEM | epoch=13 time=5.62s lr=0.001 grad_norm=4.089683 mask_ratio_lastbatch=0.222656 cuda_mem_alloc_mb=98.06 cuda_mem_reserved_mb=3758.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:26:51,397 | INFO | SYSTEM | epoch=14 time=4.89s lr=0.001 grad_norm=4.094723 mask_ratio_lastbatch=0.228930 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=3758.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:26:56,340 | INFO | SYSTEM | epoch=15 time=4.94s lr=0.001 grad_norm=4.090497 mask_ratio_lastbatch=0.227154 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=3758.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:27:01,386 | INFO | SYSTEM | epoch=16 time=5.04s lr=0.001 grad_norm=4.103221 mask_ratio_lastbatch=0.230232 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=3758.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:27:06,876 | INFO | SYSTEM | epoch=17 time=5.49s lr=0.001 grad_norm=4.100139 mask_ratio_lastbatch=0.223231 cuda_mem_alloc_mb=98.23 cuda_mem_reserved_mb=3758.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:27:11,864 | INFO | SYSTEM | epoch=18 time=4.99s lr=0.001 grad_norm=4.115009 mask_ratio_lastbatch=0.229285 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:27:16,903 | INFO | SYSTEM | epoch=19 time=5.04s lr=0.001 grad_norm=4.125286 mask_ratio_lastbatch=0.228812 cuda_mem_alloc_mb=98.23 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:27:21,920 | INFO | SYSTEM | epoch=20 time=5.02s lr=0.001 grad_norm=4.132892 mask_ratio_lastbatch=0.227746 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:27:26,926 | INFO | SYSTEM | epoch=21 time=5.00s lr=0.001 grad_norm=4.141111 mask_ratio_lastbatch=0.229877 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:27:32,025 | INFO | SYSTEM | epoch=22 time=5.10s lr=0.001 grad_norm=4.138999 mask_ratio_lastbatch=0.231889 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:27:36,852 | INFO | SYSTEM | epoch=23 time=4.83s lr=0.001 grad_norm=4.163249 mask_ratio_lastbatch=0.230469 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:27:41,848 | INFO | SYSTEM | epoch=24 time=4.99s lr=0.001 grad_norm=4.162293 mask_ratio_lastbatch=0.227154 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:27:47,062 | INFO | SYSTEM | epoch=25 time=5.21s lr=0.001 grad_norm=4.165178 mask_ratio_lastbatch=0.230587 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:27:52,232 | INFO | SYSTEM | epoch=26 time=5.17s lr=0.0005 grad_norm=4.168645 mask_ratio_lastbatch=0.229522 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:27:57,217 | INFO | SYSTEM | epoch=27 time=4.98s lr=0.0005 grad_norm=4.175923 mask_ratio_lastbatch=0.228812 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:28:02,098 | INFO | SYSTEM | epoch=28 time=4.88s lr=0.0005 grad_norm=4.185981 mask_ratio_lastbatch=0.226681 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:28:07,711 | INFO | SYSTEM | epoch=29 time=5.61s lr=0.0005 grad_norm=4.182227 mask_ratio_lastbatch=0.227983 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:28:12,709 | INFO | SYSTEM | epoch=30 time=5.00s lr=0.0005 grad_norm=4.186057 mask_ratio_lastbatch=0.228930 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:28:17,551 | INFO | SYSTEM | epoch=31 time=4.84s lr=0.0005 grad_norm=4.193647 mask_ratio_lastbatch=0.229167 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:28:22,563 | INFO | SYSTEM | epoch=32 time=5.01s lr=0.0005 grad_norm=4.192440 mask_ratio_lastbatch=0.228220 cuda_mem_alloc_mb=98.23 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:28:27,484 | INFO | SYSTEM | epoch=33 time=4.92s lr=0.0005 grad_norm=4.203750 mask_ratio_lastbatch=0.226918 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:28:32,386 | INFO | SYSTEM | epoch=34 time=4.90s lr=0.0005 grad_norm=4.208442 mask_ratio_lastbatch=0.229285 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:28:37,553 | INFO | SYSTEM | epoch=35 time=5.17s lr=0.0005 grad_norm=4.211219 mask_ratio_lastbatch=0.229640 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:28:42,486 | INFO | SYSTEM | epoch=36 time=4.93s lr=0.0005 grad_norm=4.218871 mask_ratio_lastbatch=0.230114 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:28:47,414 | INFO | SYSTEM | epoch=37 time=4.93s lr=0.0005 grad_norm=4.214180 mask_ratio_lastbatch=0.229167 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:28:52,346 | INFO | SYSTEM | epoch=38 time=4.93s lr=0.00025 grad_norm=4.219424 mask_ratio_lastbatch=0.223116 cuda_mem_alloc_mb=98.06 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:28:57,197 | INFO | SYSTEM | epoch=39 time=4.85s lr=0.00025 grad_norm=4.219526 mask_ratio_lastbatch=0.229877 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:29:02,287 | INFO | SYSTEM | epoch=40 time=5.09s lr=0.00025 grad_norm=4.225945 mask_ratio_lastbatch=0.226918 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:29:07,425 | INFO | SYSTEM | epoch=41 time=5.14s lr=0.00025 grad_norm=4.225631 mask_ratio_lastbatch=0.230469 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:29:12,335 | INFO | SYSTEM | epoch=42 time=4.91s lr=0.00025 grad_norm=4.229243 mask_ratio_lastbatch=0.225616 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:29:17,313 | INFO | SYSTEM | epoch=43 time=4.98s lr=0.00025 grad_norm=4.230291 mask_ratio_lastbatch=0.227273 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:29:22,254 | INFO | SYSTEM | epoch=44 time=4.94s lr=0.00025 grad_norm=4.233076 mask_ratio_lastbatch=0.232008 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:29:27,140 | INFO | SYSTEM | epoch=45 time=4.89s lr=0.00025 grad_norm=4.235881 mask_ratio_lastbatch=0.227509 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:29:32,075 | INFO | SYSTEM | epoch=46 time=4.93s lr=0.00025 grad_norm=4.236910 mask_ratio_lastbatch=0.230114 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.95
2025-12-22 02:29:37,047 | INFO | SYSTEM | epoch=47 time=4.97s lr=0.00025 grad_norm=4.247235 mask_ratio_lastbatch=0.231297 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.96
2025-12-22 02:29:42,010 | INFO | SYSTEM | epoch=48 time=4.96s lr=0.000125 grad_norm=4.245734 mask_ratio_lastbatch=0.226918 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.96
2025-12-22 02:29:46,936 | INFO | SYSTEM | epoch=49 time=4.93s lr=0.000125 grad_norm=4.249169 mask_ratio_lastbatch=0.229522 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.96
2025-12-22 02:29:51,826 | INFO | SYSTEM | epoch=50 time=4.89s lr=0.000125 grad_norm=4.249468 mask_ratio_lastbatch=0.224669 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.96
2025-12-22 02:29:56,701 | INFO | SYSTEM | epoch=51 time=4.87s lr=0.000125 grad_norm=4.250492 mask_ratio_lastbatch=0.226326 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.96
2025-12-22 02:30:01,666 | INFO | SYSTEM | epoch=52 time=4.96s lr=0.000125 grad_norm=4.259819 mask_ratio_lastbatch=0.228930 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.96
2025-12-22 02:30:06,506 | INFO | SYSTEM | epoch=53 time=4.84s lr=0.000125 grad_norm=4.256418 mask_ratio_lastbatch=0.230114 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.96
2025-12-22 02:30:11,337 | INFO | SYSTEM | epoch=54 time=4.83s lr=0.000125 grad_norm=4.262781 mask_ratio_lastbatch=0.228693 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.96
2025-12-22 02:30:16,408 | INFO | SYSTEM | epoch=55 time=5.07s lr=0.000125 grad_norm=4.258164 mask_ratio_lastbatch=0.228575 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.96
2025-12-22 02:30:21,507 | INFO | SYSTEM | epoch=56 time=5.10s lr=0.000125 grad_norm=4.261947 mask_ratio_lastbatch=0.231061 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.96
2025-12-22 02:30:26,457 | INFO | SYSTEM | epoch=57 time=4.95s lr=0.000125 grad_norm=4.269014 mask_ratio_lastbatch=0.227746 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.96
2025-12-22 02:30:31,484 | INFO | SYSTEM | epoch=58 time=5.03s lr=6.25e-05 grad_norm=4.268521 mask_ratio_lastbatch=0.228338 cuda_mem_alloc_mb=98.05 cuda_mem_reserved_mb=4086.00 cuda_mem_max_alloc_mb=1372.96
