2025-12-22 02:03:14,015 | INFO | TOP_ERR | split=test epoch=0 rank=1/10 b=17 t=6 var_idx=6 tp=1.063000 y_true=0.053281 y_pred=0.713090 diff=0.659809 abs_err=0.659809
2025-12-22 02:03:14,016 | INFO | TOP_ERR | split=test epoch=0 rank=2/10 b=17 t=2 var_idx=6 tp=1.027000 y_true=0.054539 y_pred=0.713104 diff=0.658565 abs_err=0.658565
2025-12-22 02:03:14,016 | INFO | TOP_ERR | split=test epoch=0 rank=3/10 b=17 t=6 var_idx=7 tp=1.063000 y_true=0.869900 y_pred=0.473029 diff=-0.396871 abs_err=0.396871
2025-12-22 02:03:14,016 | INFO | TOP_ERR | split=test epoch=0 rank=4/10 b=17 t=2 var_idx=7 tp=1.027000 y_true=0.869051 y_pred=0.473015 diff=-0.396036 abs_err=0.396036
2025-12-22 02:03:14,016 | INFO | TOP_ERR | split=test epoch=0 rank=5/10 b=37 t=28 var_idx=6 tp=1.313000 y_true=0.992233 y_pred=0.599412 diff=-0.392821 abs_err=0.392821
2025-12-22 02:03:14,016 | INFO | TOP_ERR | split=test epoch=0 rank=6/10 b=17 t=6 var_idx=8 tp=1.063000 y_true=0.996759 y_pred=0.605978 diff=-0.390781 abs_err=0.390781
2025-12-22 02:03:14,016 | INFO | TOP_ERR | split=test epoch=0 rank=7/10 b=17 t=2 var_idx=8 tp=1.027000 y_true=0.996743 y_pred=0.605967 diff=-0.390776 abs_err=0.390776
2025-12-22 02:03:14,016 | INFO | TOP_ERR | split=test epoch=0 rank=8/10 b=63 t=25 var_idx=9 tp=1.266333 y_true=0.174672 y_pred=0.536808 diff=0.362135 abs_err=0.362135
2025-12-22 02:03:14,017 | INFO | TOP_ERR | split=test epoch=0 rank=9/10 b=37 t=28 var_idx=7 tp=1.313000 y_true=0.136750 y_pred=0.494083 diff=0.357334 abs_err=0.357334
2025-12-22 02:03:14,017 | INFO | TOP_ERR | split=test epoch=0 rank=10/10 b=63 t=29 var_idx=10 tp=1.302333 y_true=0.792565 y_pred=0.443564 diff=-0.349001 abs_err=0.349001
2025-12-22 02:03:14,017 | INFO | TOP_BEST | split=test epoch=0 rank=1/3 b=43 t=7 var_idx=10 tp=1.124000 y_true=0.415518 y_pred=0.415528 diff=0.000009 abs_err=0.000009
