2025-12-22 01:31:15,274 | INFO | SYSTEM | epoch=0 time=5.27s lr=0.0001 grad_norm=80.528565 mask_ratio_lastbatch=0.227391 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2016.00 cuda_mem_max_alloc_mb=1479.01
2025-12-22 01:31:19,867 | INFO | SYSTEM | epoch=1 time=4.59s lr=0.0001 grad_norm=125.612695 mask_ratio_lastbatch=0.233546 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2018.00 cuda_mem_max_alloc_mb=1480.09
2025-12-22 01:31:24,450 | INFO | SYSTEM | epoch=2 time=4.58s lr=0.0001 grad_norm=123.901237 mask_ratio_lastbatch=0.229048 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2018.00 cuda_mem_max_alloc_mb=1480.09
2025-12-22 01:31:29,041 | INFO | SYSTEM | epoch=3 time=4.59s lr=0.0001 grad_norm=124.598517 mask_ratio_lastbatch=0.229285 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2018.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:31:33,637 | INFO | SYSTEM | epoch=4 time=4.60s lr=0.0001 grad_norm=125.176001 mask_ratio_lastbatch=0.222656 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2018.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:31:38,233 | INFO | SYSTEM | epoch=5 time=4.60s lr=0.0001 grad_norm=125.817950 mask_ratio_lastbatch=0.228456 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2018.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:31:42,821 | INFO | SYSTEM | epoch=6 time=4.59s lr=0.0001 grad_norm=126.432600 mask_ratio_lastbatch=0.230350 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2018.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:31:47,456 | INFO | SYSTEM | epoch=7 time=4.63s lr=0.0001 grad_norm=127.386634 mask_ratio_lastbatch=0.228693 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2018.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:31:52,138 | INFO | SYSTEM | epoch=8 time=4.68s lr=0.0001 grad_norm=127.675470 mask_ratio_lastbatch=0.229759 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2018.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:31:56,276 | INFO | SYSTEM | epoch=9 time=4.14s lr=0.0001 grad_norm=127.964096 mask_ratio_lastbatch=0.229877 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2018.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:32:00,906 | INFO | SYSTEM | epoch=10 time=4.63s lr=0.0001 grad_norm=128.082891 mask_ratio_lastbatch=0.228456 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2018.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:32:04,935 | INFO | SYSTEM | epoch=11 time=4.03s lr=0.0001 grad_norm=128.309093 mask_ratio_lastbatch=0.228575 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2018.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:32:09,569 | INFO | SYSTEM | epoch=12 time=4.63s lr=0.0001 grad_norm=128.469481 mask_ratio_lastbatch=0.228338 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2018.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:32:14,194 | INFO | SYSTEM | epoch=13 time=4.62s lr=0.0001 grad_norm=128.540949 mask_ratio_lastbatch=0.230469 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2018.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:32:18,316 | INFO | SYSTEM | epoch=14 time=4.12s lr=0.0001 grad_norm=128.749688 mask_ratio_lastbatch=0.226207 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2018.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:32:22,948 | INFO | SYSTEM | epoch=15 time=4.63s lr=0.0001 grad_norm=128.956406 mask_ratio_lastbatch=0.225024 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2018.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:32:27,578 | INFO | SYSTEM | epoch=16 time=4.63s lr=0.0001 grad_norm=129.026375 mask_ratio_lastbatch=0.222426 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2018.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:32:31,774 | INFO | SYSTEM | epoch=17 time=4.20s lr=0.0001 grad_norm=129.094948 mask_ratio_lastbatch=0.220933 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2018.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:32:36,310 | INFO | SYSTEM | epoch=18 time=4.17s lr=0.0001 grad_norm=129.231006 mask_ratio_lastbatch=0.229403 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2018.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:32:40,464 | INFO | SYSTEM | epoch=19 time=4.15s lr=0.0001 grad_norm=129.339170 mask_ratio_lastbatch=0.230587 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2018.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:32:45,126 | INFO | SYSTEM | epoch=20 time=4.66s lr=0.0001 grad_norm=129.436126 mask_ratio_lastbatch=0.223575 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2020.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:32:49,792 | INFO | SYSTEM | epoch=21 time=4.67s lr=0.0001 grad_norm=129.504793 mask_ratio_lastbatch=0.224787 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2020.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:32:53,936 | INFO | SYSTEM | epoch=22 time=4.14s lr=0.0001 grad_norm=129.527040 mask_ratio_lastbatch=0.234619 cuda_mem_alloc_mb=98.11 cuda_mem_reserved_mb=2020.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:32:58,088 | INFO | SYSTEM | epoch=23 time=4.15s lr=0.0001 grad_norm=129.673596 mask_ratio_lastbatch=0.225024 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2020.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:33:02,747 | INFO | SYSTEM | epoch=24 time=4.66s lr=0.0001 grad_norm=129.764908 mask_ratio_lastbatch=0.224669 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2020.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:33:07,345 | INFO | SYSTEM | epoch=25 time=4.17s lr=0.0001 grad_norm=129.770065 mask_ratio_lastbatch=0.224195 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2020.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:33:11,486 | INFO | SYSTEM | epoch=26 time=4.14s lr=0.0001 grad_norm=129.889093 mask_ratio_lastbatch=0.230350 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2020.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:33:16,147 | INFO | SYSTEM | epoch=27 time=4.66s lr=0.0001 grad_norm=129.895909 mask_ratio_lastbatch=0.228693 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2020.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:33:20,283 | INFO | SYSTEM | epoch=28 time=4.14s lr=0.0001 grad_norm=130.025609 mask_ratio_lastbatch=0.230114 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2020.00 cuda_mem_max_alloc_mb=1480.10
2025-12-22 01:33:24,936 | INFO | SYSTEM | epoch=29 time=4.65s lr=0.0001 grad_norm=130.123770 mask_ratio_lastbatch=0.226444 cuda_mem_alloc_mb=98.12 cuda_mem_reserved_mb=2020.00 cuda_mem_max_alloc_mb=1480.10
