2025-12-22 02:23:43,983 | INFO | TOP_ERR | split=test epoch=0 rank=1/10 b=37 t=28 var_idx=6 tp=1.313000 y_true=0.992233 y_pred=0.498390 diff=-0.493843 abs_err=0.493843
2025-12-22 02:23:43,984 | INFO | TOP_ERR | split=test epoch=0 rank=2/10 b=17 t=6 var_idx=6 tp=1.063000 y_true=0.053281 y_pred=0.502572 diff=0.449291 abs_err=0.449291
2025-12-22 02:23:43,984 | INFO | TOP_ERR | split=test epoch=0 rank=3/10 b=17 t=2 var_idx=6 tp=1.027000 y_true=0.054539 y_pred=0.502885 diff=0.448347 abs_err=0.448347
2025-12-22 02:23:43,984 | INFO | TOP_ERR | split=test epoch=0 rank=4/10 b=51 t=26 var_idx=6 tp=1.329000 y_true=0.920993 y_pred=0.498453 diff=-0.422540 abs_err=0.422540
2025-12-22 02:23:43,984 | INFO | TOP_ERR | split=test epoch=0 rank=5/10 b=38 t=6 var_idx=6 tp=1.088000 y_true=0.919100 y_pred=0.502064 diff=-0.417036 abs_err=0.417036
2025-12-22 02:23:43,984 | INFO | TOP_ERR | split=test epoch=0 rank=6/10 b=38 t=16 var_idx=6 tp=1.196000 y_true=0.916062 y_pred=0.500662 diff=-0.415400 abs_err=0.415400
2025-12-22 02:23:43,984 | INFO | TOP_ERR | split=test epoch=0 rank=7/10 b=48 t=9 var_idx=6 tp=1.106333 y_true=0.913059 y_pred=0.502390 diff=-0.410669 abs_err=0.410669
2025-12-22 02:23:43,984 | INFO | TOP_ERR | split=test epoch=0 rank=8/10 b=17 t=6 var_idx=8 tp=1.063000 y_true=0.996759 y_pred=0.590158 diff=-0.406600 abs_err=0.406600
2025-12-22 02:23:43,984 | INFO | TOP_ERR | split=test epoch=0 rank=9/10 b=17 t=2 var_idx=8 tp=1.027000 y_true=0.996743 y_pred=0.590297 diff=-0.406445 abs_err=0.406445
2025-12-22 02:23:43,985 | INFO | TOP_ERR | split=test epoch=0 rank=10/10 b=52 t=1 var_idx=6 tp=1.031667 y_true=0.908828 y_pred=0.503077 diff=-0.405751 abs_err=0.405751
2025-12-22 02:23:43,985 | INFO | TOP_BEST | split=test epoch=0 rank=1/3 b=33 t=9 var_idx=11 tp=1.108667 y_true=0.561178 y_pred=0.561171 diff=-0.000007 abs_err=0.000007
2025-12-22 02:23:43,985 | INFO | TOP_BEST | split=test epoch=0 rank=2/3 b=49 t=22 var_idx=5 tp=1.268333 y_true=0.597454 y_pred=0.597397 diff=-0.000058 abs_err=0.000058
2025-12-22 02:23:43,985 | INFO | TOP_BEST | split=test epoch=0 rank=3/3 b=27 t=8 var_idx=9 tp=1.090333 y_true=0.544767 y_pred=0.544695 diff=-0.000073 abs_err=0.000073
2025-12-22 02:23:43,985 | INFO | TOP_OK | split=test epoch=0 none_found (no exact matches)
2025-12-22 02:23:56,553 | INFO | TOP_ERR | split=test epoch=1 rank=1/10 b=37 t=28 var_idx=6 tp=1.313000 y_true=0.992233 y_pred=0.502409 diff=-0.489824 abs_err=0.489824
2025-12-22 02:23:56,554 | INFO | TOP_ERR | split=test epoch=1 rank=2/10 b=17 t=6 var_idx=6 tp=1.063000 y_true=0.053281 y_pred=0.508813 diff=0.455532 abs_err=0.455532
2025-12-22 02:23:56,554 | INFO | TOP_ERR | split=test epoch=1 rank=3/10 b=17 t=2 var_idx=6 tp=1.027000 y_true=0.054539 y_pred=0.509125 diff=0.454587 abs_err=0.454587
2025-12-22 02:23:56,554 | INFO | TOP_ERR | split=test epoch=1 rank=4/10 b=51 t=26 var_idx=6 tp=1.329000 y_true=0.920993 y_pred=0.508287 diff=-0.412706 abs_err=0.412706
2025-12-22 02:23:56,554 | INFO | TOP_ERR | split=test epoch=1 rank=5/10 b=48 t=9 var_idx=6 tp=1.106333 y_true=0.913059 y_pred=0.512328 diff=-0.400731 abs_err=0.400731
2025-12-22 02:23:56,554 | INFO | TOP_ERR | split=test epoch=1 rank=6/10 b=55 t=1 var_idx=11 tp=1.013667 y_true=0.160785 y_pred=0.559401 diff=0.398617 abs_err=0.398616
2025-12-22 02:23:56,554 | INFO | TOP_ERR | split=test epoch=1 rank=7/10 b=17 t=6 var_idx=8 tp=1.063000 y_true=0.996759 y_pred=0.600296 diff=-0.396463 abs_err=0.396463
2025-12-22 02:23:56,554 | INFO | TOP_ERR | split=test epoch=1 rank=8/10 b=17 t=2 var_idx=8 tp=1.027000 y_true=0.996743 y_pred=0.600487 diff=-0.396255 abs_err=0.396255
2025-12-22 02:23:56,554 | INFO | TOP_ERR | split=test epoch=1 rank=9/10 b=38 t=6 var_idx=6 tp=1.088000 y_true=0.919100 y_pred=0.523391 diff=-0.395709 abs_err=0.395709
2025-12-22 02:23:56,555 | INFO | TOP_ERR | split=test epoch=1 rank=10/10 b=52 t=1 var_idx=6 tp=1.031667 y_true=0.908828 y_pred=0.513642 diff=-0.395186 abs_err=0.395186
2025-12-22 02:23:56,555 | INFO | TOP_BEST | split=test epoch=1 rank=1/3 b=34 t=26 var_idx=10 tp=1.277000 y_true=0.491794 y_pred=0.491803 diff=0.000009 abs_err=0.000009
2025-12-22 02:23:56,555 | INFO | TOP_BEST | split=test epoch=1 rank=2/3 b=55 t=23 var_idx=8 tp=1.257000 y_true=0.596068 y_pred=0.596148 diff=0.000080 abs_err=0.000080
2025-12-22 02:23:56,555 | INFO | TOP_BEST | split=test epoch=1 rank=3/3 b=23 t=6 var_idx=1 tp=1.063333 y_true=0.476767 y_pred=0.476678 diff=-0.000089 abs_err=0.000089
2025-12-22 02:23:56,555 | INFO | TOP_OK | split=test epoch=1 none_found (no exact matches)
2025-12-22 02:24:09,131 | INFO | TOP_ERR | split=test epoch=2 rank=1/10 b=17 t=6 var_idx=6 tp=1.063000 y_true=0.053281 y_pred=0.659780 diff=0.606499 abs_err=0.606499
2025-12-22 02:24:09,131 | INFO | TOP_ERR | split=test epoch=2 rank=2/10 b=17 t=2 var_idx=6 tp=1.027000 y_true=0.054539 y_pred=0.660101 diff=0.605562 abs_err=0.605562
2025-12-22 02:24:09,131 | INFO | TOP_ERR | split=test epoch=2 rank=3/10 b=63 t=25 var_idx=9 tp=1.266333 y_true=0.174672 y_pred=0.673447 diff=0.498775 abs_err=0.498775
2025-12-22 02:24:09,131 | INFO | TOP_ERR | split=test epoch=2 rank=4/10 b=37 t=28 var_idx=6 tp=1.313000 y_true=0.992233 y_pred=0.546399 diff=-0.445834 abs_err=0.445834
2025-12-22 02:24:09,132 | INFO | TOP_ERR | split=test epoch=2 rank=5/10 b=17 t=6 var_idx=7 tp=1.063000 y_true=0.869900 y_pred=0.478440 diff=-0.391460 abs_err=0.391460
2025-12-22 02:24:09,132 | INFO | TOP_ERR | split=test epoch=2 rank=6/10 b=17 t=2 var_idx=7 tp=1.027000 y_true=0.869051 y_pred=0.478760 diff=-0.390291 abs_err=0.390291
2025-12-22 02:24:09,132 | INFO | TOP_ERR | split=test epoch=2 rank=7/10 b=17 t=6 var_idx=8 tp=1.063000 y_true=0.996759 y_pred=0.613355 diff=-0.383404 abs_err=0.383404
2025-12-22 02:24:09,132 | INFO | TOP_ERR | split=test epoch=2 rank=8/10 b=38 t=6 var_idx=6 tp=1.088000 y_true=0.919100 y_pred=0.535933 diff=-0.383167 abs_err=0.383167
2025-12-22 02:24:09,132 | INFO | TOP_ERR | split=test epoch=2 rank=9/10 b=17 t=2 var_idx=8 tp=1.027000 y_true=0.996743 y_pred=0.613675 diff=-0.383067 abs_err=0.383067
2025-12-22 02:24:09,132 | INFO | TOP_ERR | split=test epoch=2 rank=10/10 b=38 t=16 var_idx=6 tp=1.196000 y_true=0.916062 y_pred=0.534505 diff=-0.381558 abs_err=0.381558
2025-12-22 02:24:09,133 | INFO | TOP_BEST | split=test epoch=2 rank=1/3 b=37 t=17 var_idx=0 tp=1.187000 y_true=0.566218 y_pred=0.566221 diff=0.000003 abs_err=0.000003
2025-12-22 02:24:09,133 | INFO | TOP_BEST | split=test epoch=2 rank=2/3 b=26 t=4 var_idx=1 tp=1.036333 y_true=0.482690 y_pred=0.482707 diff=0.000017 abs_err=0.000017
2025-12-22 02:24:09,133 | INFO | TOP_BEST | split=test epoch=2 rank=3/3 b=54 t=23 var_idx=9 tp=1.275000 y_true=0.753117 y_pred=0.753152 diff=0.000035 abs_err=0.000035
2025-12-22 02:24:09,133 | INFO | TOP_OK | split=test epoch=2 none_found (no exact matches)
2025-12-22 02:24:21,681 | INFO | TOP_ERR | split=test epoch=3 rank=1/10 b=17 t=6 var_idx=6 tp=1.063000 y_true=0.053281 y_pred=0.721431 diff=0.668150 abs_err=0.668150
2025-12-22 02:24:21,681 | INFO | TOP_ERR | split=test epoch=3 rank=2/10 b=17 t=2 var_idx=6 tp=1.027000 y_true=0.054539 y_pred=0.721607 diff=0.667068 abs_err=0.667068
2025-12-22 02:24:21,681 | INFO | TOP_ERR | split=test epoch=3 rank=3/10 b=37 t=28 var_idx=6 tp=1.313000 y_true=0.992233 y_pred=0.481613 diff=-0.510620 abs_err=0.510620
2025-12-22 02:24:21,681 | INFO | TOP_ERR | split=test epoch=3 rank=4/10 b=17 t=6 var_idx=7 tp=1.063000 y_true=0.869900 y_pred=0.424367 diff=-0.445532 abs_err=0.445532
